Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	05	01	710.34901796	03	2	19	5	1	2	2	02		305	3	5	200601200057	20060120005701	711.331926579793
10	06	01	710.34901796	09	1	22	5	1	2	2	02		305	3	5	200601200057	20060120005701	711.331926579793
10	01	01	974.84887275	01	2	62	3	1	2	2	11		305	3	5	200601200058	20060120005801	976.311485437367
10	02	01	974.84887275	03	1	28	5	1	2	2	02		305	3	5	200601200058	20060120005801	976.311485437367
10	03	01	974.84887275	03	1	25	5	1	2	2	02		408	4	8	200601200058	20060120005801	976.311485437367
10	01	01	516.86387279	01	2	38	5	1	2	2	02		305	3	5	200601200059	20060120005901	515.779083525388
10	02	01	516.86387279	03	2	20	5	1	1			1	500	5	0	200601200059	20060120005901	515.779083525388
10	03	01	516.86387279	03	2	17	5	1	1			1	409	4	9	200601200059	20060120005901	515.779083525388
10	04	01	516.86387279	03	1	15	5	1	2	2	06		302	3	2	200601200059	20060120005901	515.779083525388
10	05	01	516.86387279	03	2	13	5	1	1			1	400	4	0	200601200059	20060120005901	515.779083525388
10	01	01	775.91051818	01	1	40	2	1	2	2	01		611	6	11	200601200060	20060120006001	777.733960412331
10	02	01	775.91051818	02	2	36	2	1	2	2	07		611	6	11	200601200060	20060120006001	777.733960412331
10	03	01	775.91051818	03	2	6	5	2	1			1	300	3	0	200601200060	20060120006001	777.733960412331
10	04	01	775.91051818	03	2	3	5									200601200060	20060120006001	777.733960412331
10	01	01	616.55743402	01	1	24	1	1	2	2	01		305	3	5	200601200061	20060120006101	616.004504529027
10	02	01	616.55743402	02	2	21	1	1	2	2	07		407	4	7	200601200061	20060120006101	616.004504529027
10	03	01	616.55743402	03	2	0	5									200601200061	20060120006101	616.004504529027
10	01	01	818.99988665	01	1	30	2	1	1			2	502	5	2	200601200062	20060120006201	821.13891629667
10	02	01	818.99988665	02	2	25	2	1	2	2	01		611	6	11	200601200062	20060120006201	821.13891629667
10	01	01	754.83946854	01	1	56	2	1	2	2	06		303	3	3	200601200063	20060120006301	755.311816004083
10	02	01	754.83946854	02	2	52	2	1	2	2	06		305	3	5	200601200063	20060120006301	755.311816004083
10	01	01	711.59218537	01	1	36	2	1	2	2	01		302	3	2	200601200064	20060120006401	712.666790564835
10	02	01	711.59218537	02	2	32	2	1	2	2	06		305	3	5	200601200064	20060120006401	712.666790564835
10	03	01	711.59218537	03	1	14	5	1	1			1	408	4	8	200601200064	20060120006401	712.666790564835
10	04	01	711.59218537	03	2	11	5	1	1			1	400	4	0	200601200064	20060120006401	712.666790564835
10	05	01	711.59218537	03	1	8	5	2	1			1	300	3	0	200601200064	20060120006401	712.666790564835
10	01	01	659.35963696	01	1	38	1	1	2	2	01		302	3	2	200601200065	20060120006501	660.066742643082
10	02	01	659.35963696	02	2	33	1	1	2	2	06		305	3	5	200601200065	20060120006501	660.066742643082
10	03	01	659.35963696	03	2	15	5	1	1			1	408	4	8	200601200065	20060120006501	660.066742643082
10	04	01	659.35963696	03	1	14	5	1	1			1	406	4	6	200601200065	20060120006501	660.066742643082
10	05	01	659.35963696	03	2	13	5	1	1			1	406	4	6	200601200065	20060120006501	660.066742643082
10	01	01	563.7357382	01	2	30	4	1	2	2	01		304	3	4	200601200066	20060120006601	561.690015702602
10	02	01	563.7357382	03	2	11	5	1	1			1	304	3	4	200601200066	20060120006601	561.690015702602
