Reg	Orden	Hogar	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	04	01	3262.6163001	3	1												200601300068	20060130006801	3243.41912073428
50	05	01	3262.6163001	3	1												200601300068	20060130006801	3243.41912073428
50	06	01	3262.6163001	3	1												200601300068	20060130006801	3243.41912073428
50	07	01	3262.6163001	3	1												200601300068	20060130006801	3243.41912073428
50	08	01	3262.6163001	3	3	2	2	2	2	2							200601300068	20060130006801	3243.41912073428
50	01	01	3213.2235352	2	1												200601300069	20060130006901	3202.13546986284
50	02	01	3213.2235352	2	4	2	2	2	2	2							200601300069	20060130006901	3202.13546986284
50	03	01	3213.2235352	2	1												200601300069	20060130006901	3202.13546986284
50	04	01	3213.2235352	2	1												200601300069	20060130006901	3202.13546986284
50	05	01	3213.2235352	5	1												200601300069	20060130006901	3202.13546986284
50	06	01	3213.2235352	2	1												200601300069	20060130006901	3202.13546986284
50	07	01	3213.2235352	2	3	2	2	2	2	2							200601300069	20060130006901	3202.13546986284
50	01	01	2887.5444549	2	1												200601300070	20060130007001	2891.87800116826
50	02	01	2887.5444549	2	1												200601300070	20060130007001	2891.87800116826
50	01	01	3357.3470266	2	1												200601300071	20060130007101	3368.2418769198
50	02	01	3357.3470266	2	4	2	2	2	2	2							200601300071	20060130007101	3368.2418769198
50	01	01	3420.7754569	2	1												200601300072	20060130007201	3418.83930375241
50	02	01	3420.7754569	2	4	2	2	2	2	2							200601300072	20060130007201	3418.83930375241
50	03	01	3420.7754569	3	1												200601300072	20060130007201	3418.83930375241
50	04	01	3420.7754569	2	1												200601300072	20060130007201	3418.83930375241
50	01	01	3050.0173891	1	1												200601300073	20060130007301	3116.51210101301
50	02	01	3050.0173891	1	1												200601300073	20060130007301	3116.51210101301
50	01	01	3420.7754569	2	1												200601300074	20060130007401	3418.83930375241
50	02	01	3420.7754569	2	4	2	2	2	2	2							200601300074	20060130007401	3418.83930375241
50	03	01	3420.7754569	2	3	2	2	2	2	2							200601300074	20060130007401	3418.83930375241
50	04	01	3420.7754569	2	3	2	2	2	2	2							200601300074	20060130007401	3418.83930375241
50	01	01	3189.5286248	1	5	2	1										200601300075	20060130007501	3210.28809712405
50	02	01	3189.5286248	1	4	2	2	2	2	2							200601300075	20060130007501	3210.28809712405
50	03	01	3189.5286248	1	1												200601300075	20060130007501	3210.28809712405
50	01	01	3889.1726348	2	1												200601300076	20060130007601	3891.24660286214
50	02	01	3889.1726348	2	4	2	2	2	2	2							200601300076	20060130007601	3891.24660286214
50	01	01	4247.542238	2	1												200601300077	20060130007701	4279.64144545053
50	02	01	4247.542238	2	4	2	2	2	2	2							200601300077	20060130007701	4279.64144545053
50	03	01	4247.542238	2	1												200601300077	20060130007701	4279.64144545053
50	04	01	4247.542238	2	1												200601300077	20060130007701	4279.64144545053
50	01	01	4091.0832903	1	1												200601300078	20060130007801	4074.40117390981
50	01	01	3872.8087307	2	1												200601300079	20060130007901	3845.79548299187
50	02	01	3872.8087307	2	4	2	2	2	2	2							200601300079	20060130007901	3845.79548299187
50	01	01	3476.9125312	2	1												200601300080	20060130008001	3474.82449801059
50	02	01	3476.9125312	2	4	2	2	1									200601300080	20060130008001	3474.82449801059
50	03	01	3476.9125312	2	1												200601300080	20060130008001	3474.82449801059
50	04	01	3476.9125312	2	1												200601300080	20060130008001	3474.82449801059
50	05	01	3476.9125312	2	1												200601300080	20060130008001	3474.82449801059
50	06	01	3476.9125312	2	4	2	2	2	2	2							200601300080	20060130008001	3474.82449801059
50	07	01	3476.9125312	2	1												200601300080	20060130008001	3474.82449801059
50	08	01	3476.9125312	2	5	2	2	2	2	2							200601300080	20060130008001	3474.82449801059
50	01	01	2914.1746346	1	1												200601300081	20060130008101	2902.2961732187
50	02	01	2914.1746346	1	1												200601300081	20060130008101	2902.2961732187
50	03	01	2914.1746346	1	1												200601300081	20060130008101	2902.2961732187
50	01	01	2317.1609155	1	1												200601300082	20060130008201	2295.63023162636
50	02	01	2317.1609155	1	4	2	2	2	2	2							200601300082	20060130008201	2295.63023162636
50	01	01	2630.7193846	2	1												200601300083	20060130008301	2651.97300339869
50	02	01	2630.7193846	2	4	2	2	2	2	2							200601300083	20060130008301	2651.97300339869
50	01	01	1893.7190164	2	1												200601300084	20060130008401	1904.62627475963
50	02	01	1893.7190164	2	4	2	2	2	2	2							200601300084	20060130008401	1904.62627475963
50	03	01	1893.7190164	2	4	2	2	2	2	2							200601300084	20060130008401	1904.62627475963
50	01	01	2261.7287769	1	1												200601300085	20060130008501	2251.39374031209
50	02	01	2261.7287769	2	4	2	2	2	2	1	12						200601300085	20060130008501	2251.39374031209
50	03	01	2261.7287769	3	1												200601300085	20060130008501	2251.39374031209
50	04	01	2261.7287769	2	4	2	2	2	2	2							200601300085	20060130008501	2251.39374031209
50	05	01	2261.7287769	2	3	2	2	2	2	2							200601300085	20060130008501	2251.39374031209
50	01	01	1904.640679	1	1												200601300086	20060130008601	1959.91043122608
50	02	01	1904.640679	1	4	2	2	2	2	2							200601300086	20060130008601	1959.91043122608
50	04	01	1904.640679	1	4	2	2	2	2	2							200601300086	20060130008601	1959.91043122608
50	01	01	2092.942956	2	1												200601300087	20060130008701	2094.11114277378
50	02	01	2092.942956	2	4	2	2	2	2	2							200601300087	20060130008701	2094.11114277378
50	03	01	2092.942956	2	3	2	2	2	2	2							200601300087	20060130008701	2094.11114277378
50	04	01	2092.942956	2	3	2	2	2	2	2							200601300087	20060130008701	2094.11114277378
50	01	01	4466.7433436	1	1												200601300088	20060130008801	4456.07224627431
50	02	01	4466.7433436	1	4	2	2	2	2	2							200601300088	20060130008801	4456.07224627431
50	03	01	4466.7433436	1	3	2	2	2	2	2							200601300088	20060130008801	4456.07224627431
50	08	01	4466.7433436	1	3	2	2	2	2	2							200601300088	20060130008801	4456.07224627431
50	01	01	4883.102621	1	1												200601300089	20060130008901	4892.41026618216
50	02	01	4883.102621	1	4	2	2	2	2	2							200601300089	20060130008901	4892.41026618216
50	03	01	4883.102621	1	3	2	2	1									200601300089	20060130008901	4892.41026618216
50	04	01	4883.102621	1	3	2	2	2	2	2							200601300089	20060130008901	4892.41026618216
50	01	01	6480.2427046	1	1												200601300090	20060130009001	6478.69489089288
50	02	01	6480.2427046	1	4	2	2	2	2	2							200601300090	20060130009001	6478.69489089288
50	03	01	6480.2427046	1	1												200601300090	20060130009001	6478.69489089288
50	04	01	6480.2427046	1	1												200601300090	20060130009001	6478.69489089288
50	05	01	6480.2427046	1	3	1											200601300090	20060130009001	6478.69489089288
50	06	01	6480.2427046	1	3	2	2	2	2	2							200601300090	20060130009001	6478.69489089288
50	01	01	4745.2345572	2	1												200601300091	20060130009101	4761.37643783548
50	02	01	4745.2345572	2	1												200601300091	20060130009101	4761.37643783548
50	03	01	4745.2345572	2	3	2	2	2	2	2							200601300091	20060130009101	4761.37643783548
