Reg	Orden	Hogar	Fex_c	P24	P26	P27	P26n	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor31a	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	2757.5380373	61	01	5	0118													1800000	150000	0	0	0	0	0	1	2		2		200601300064	20060130006401	2728.46569340836
60	01	01	2819.9216143	61	01	5	0118													98	100000	0	0	0	0	0	1	2		2		200601300065	20060130006501	2812.53869220701
60	04	01	2819.9216143	62	01	4	0112	2			220000	1	98	1	98	2		2				0	0	0	0	0	1	2		2		200601300065	20060130006501	2812.53869220701
60	06	01	2819.9216143	62	01	4	0112	2			220000	1	98	1	98	2		2				0	0	0	0	0	1	2		2		200601300065	20060130006501	2812.53869220701
60	01	01	3624.3726708	61	01	5	0118													98	98	0	0	0	0	0	1	2		2		200601300066	20060130006601	3587.62392689013
60	04	01	3624.3726708	61	01	5	0118													98	98	0	0	0	0	0	1	2		2		200601300066	20060130006601	3587.62392689013
60	01	01	2479.0731085	41	52	5	5211													98	500000	0	0	0	0	0	2			2		200601300067	20060130006701	2451.74061118502
60	06	01	2479.0731085	45	52	7	5211															0	0	0	0	0	2			2		200601300067	20060130006701	2451.74061118502
60	07	01	2479.0731085	45	52	7	5211															0	0	0	0	0	2			2		200601300067	20060130006701	2451.74061118502
60	01	01	3262.6163001	61	01	5	0117													300000	30000	0	0	0	0	0	1	2		2		200601300068	20060130006801	3243.41912073428
60	03	01	3262.6163001	61	01	5	0118													1200000	100000	0	0	0	0	0	1	2		2		200601300068	20060130006801	3243.41912073428
60	04	01	3262.6163001	98	60	1	6042	9			360000	2		2		2		2				0	0	0	0	0	1	2		2		200601300068	20060130006801	3243.41912073428
60	05	01	3262.6163001	99	14	1	1411	2			200000	2		2		2		2				0	0	0	0	0	1	2		2		200601300068	20060130006801	3243.41912073428
60	06	01	3262.6163001	62	01	4	0118	2			120000	2		2		2		2				0	0	0	0	0	1	2		2		200601300068	20060130006801	3243.41912073428
60	07	01	3262.6163001	45	52	1	5211	2			60000	2		2		2		2				0	0	0	0	0	1	2		2		200601300068	20060130006801	3243.41912073428
60	01	01	3213.2235352	99	14	5	1411													98	250000	0	0	0	0	0	1	1	5	2		200601300069	20060130006901	3202.13546986284
60	03	01	3213.2235352	97	60	5	6042													98	250000	0	0	0	0	0	2			2		200601300069	20060130006901	3202.13546986284
60	04	01	3213.2235352	99	14	5	1411													98	250000	0	0	0	0	0	2			2		200601300069	20060130006901	3202.13546986284
60	05	01	3213.2235352	59	85	2	8532	1	2	03	460000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300069	20060130006901	3202.13546986284
60	06	01	3213.2235352	99	14	5	1411													98	250000	0	0	0	0	0	1	2		2		200601300069	20060130006901	3202.13546986284
60	01	01	2887.5444549	62	01	4	0112	1	9		408000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300070	20060130007001	2891.87800116826
60	02	01	2887.5444549	59	85	2	8532	1	2	03	408000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300070	20060130007001	2891.87800116826
60	01	01	3357.3470266	99	14	5	1411													98	250000	0	0	0	0	0	1	2		2		200601300071	20060130007101	3368.2418769198
60	01	01	3420.7754569	97	60	5	6042													98	98	0	0	0	0	0	1	1	5	2		200601300072	20060130007201	3418.83930375241
60	03	01	3420.7754569	59	85	2	8532	1	2	03	460000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300072	20060130007201	3418.83930375241
60	04	01	3420.7754569	99	63	5	6310													98	120000	0	0	0	0	0	2			2		200601300072	20060130007201	3418.83930375241
60	01	01	3050.0173891	61	01	5	0118													98	150000	0	0	0	0	0	1	2		2		200601300073	20060130007301	3116.51210101301
60	02	01	3050.0173891	62	01	7	0118															0	0	0	0	0	1	2		2		200601300073	20060130007301	3116.51210101301
60	01	01	3420.7754569	61	01	5	0118													98	200000	0	0	0	0	0	2			2		200601300074	20060130007401	3418.83930375241
60	01	01	3189.5286248	62	01	4	0118	2			150000	2		2		2		2				0	0	0	0	0	2			2		200601300075	20060130007501	3210.28809712405
60	03	01	3189.5286248	97	60	1	6042	2			120000	2		2		2		2				0	0	0	0	0	2			2		200601300075	20060130007501	3210.28809712405
60	01	01	3889.1726348	87	45	1	4530	1	2	02	98	2		2		2		2				0	0	0	0	0	1	1	5	2		200601300076	20060130007601	3891.24660286214
60	01	01	4247.542238	63	02	5	0201													2000000	200000	0	0	0	0	0	1	2		2		200601300077	20060130007701	4279.64144545053
60	03	01	4247.542238	53	95	3	9500	2			98	1	98	2		2		2				0	0	0	0	0	1	2		2		200601300077	20060130007701	4279.64144545053
60	04	01	4247.542238	62	01	4	0118	2			200000	2		2		2		2				0	0	0	0	0	1	2		2		200601300077	20060130007701	4279.64144545053
60	01	01	4091.0832903	61	01	5	0115													98	98	0	0	0	0	0	1	2		2		200601300078	20060130007801	4074.40117390981
60	01	01	3872.8087307	61	01	5	0118													1450000	150000	0	0	0	0	0	2			2		200601300079	20060130007901	3845.79548299187
60	01	01	3476.9125312	61	01	5	0118													1000000	50000	0	0	0	0	0	1	2		2		200601300080	20060130008001	3474.82449801059
60	02	01	3476.9125312	62	01	7	0118															0	0	0	0	0	1	2		2		200601300080	20060130008001	3474.82449801059
60	03	01	3476.9125312	62	01	7	0118															0	0	0	0	0	1	2		2		200601300080	20060130008001	3474.82449801059
60	04	01	3476.9125312	61	01	5	0118													98	0	0	0	0	0	0	2			2		200601300080	20060130008001	3474.82449801059
60	05	01	3476.9125312	61	01	5	0118													98	0	0	0	0	0	0	2			2		200601300080	20060130008001	3474.82449801059
60	07	01	3476.9125312	61	01	5	0118													98	100000	0	0	0	0	0	2			2		200601300080	20060130008001	3474.82449801059
60	01	01	2914.1746346	98	01	1	0125	2			408000	1	90000	2		2		2				0	0	0	0	0	1	1	2	1	2	200601300081	20060130008101	2902.2961732187
