Reg	Orden	Hogar	Fex_c	P34	P35a	P35b	P36_1	P36_2	P36a	Llave_viv	Llave_hog	Fex_c_2011
61	03	01	839.51313185	48	2		2		204	200601200118	20060120011801	840.058797791082
61	01	01	628.04832356	50	2		2		216	200601200120	20060120012001	625.571908910224
61	01	01	734.86848964	60	2		2		384	200601200121	20060120012101	733.061738895868
61	01	01	688.45718869	60	2		2		060	200601200122	20060120012201	687.763540991129
61	01	01	634.86415293	60	2		2		120	200601200123	20060120012301	634.799173751752
61	01	01	474.22932134	48	2		2		108	200601200124	20060120012401	471.80158527365
61	01	01	771.59103568	48	2		2		018	200601200126	20060120012601	773.511489084715
61	01	01	813.26366411	48	2		2		004	200601200127	20060120012701	814.259052000068
61	01	01	700.22136578	52	2		2		024	200601200128	20060120012801	704.322139817208
61	02	01	700.22136578	48	2		2		002	200601200128	20060120012801	704.322139817208
61	02	01	544.67589684	60	2		2		012	200601200130	20060120013001	595.453238936026
61	02	02	754.27431836	40	2		2		002	200601200130	20060120013002	595.453238936026
61	01	01	712.58973538	11	2		2		000	200601200131	20060120013101	714.996019872052
61	01	01	742.47109893	48	2		2		006	200601200132	20060120013201	744.637935949239
61	01	01	618.11258578	48	2		2		036	200601200133	20060120013301	616.59950067112
61	03	01	618.11258578	48	2		2		003	200601200133	20060120013301	616.59950067112
61	02	01	713.03769766	20	1	20	2		240	200601200134	20060120013401	713.453095602872
61	01	01	675.45717452	60	2		2		008	200601200136	20060120013601	673.19933612218
61	02	01	675.45717452	30	2		2		001	200601200136	20060120013601	673.19933612218
61	01	01	641.04833773	60	2		2		084	200601200137	20060120013701	640.136113779174
61	02	01	641.04833773	60	2		2		024	200601200137	20060120013701	640.136113779174
61	01	01	703.22161703	20	2		2		036	200601200138	20060120013801	704.273985289276
61	01	01	806.63151704	48	2		2		242	200601200139	20060120013901	810.465036241827
61	02	01	806.63151704	10	2		2		000	200601200139	20060120013901	810.465036241827
61	03	01	806.63151704	48	2		2		012	200601200139	20060120013901	810.465036241827
61	04	01	806.63151704	48	2		2		003	200601200139	20060120013901	810.465036241827
61	01	01	717.77637017	72	2		2		007	200601200140	20060120014001	718.003730592257
61	01	01	717.77637017	48	2		2		005	200601200141	20060120014101	718.003730592257
61	01	01	717.77637017	66	1	11	2		048	200601200142	20060120014201	718.003730592257
61	01	01	488.58982286	48	2		2		048	200601200143	20060120014301	486.730109460224
61	02	01	488.58982286	48	2		2		009	200601200143	20060120014301	486.730109460224
61	03	01	846.32896121	30	2		2		000	200601200144	20060120014401	849.28606263261
61	06	01	846.32896121	40	2		2		240	200601200144	20060120014401	849.28606263261
61	01	01	620.63706512	40	1	8	2		180	200601200145	20060120014501	623.966325612333
61	01	01	765.18522113	48	1	8	2		024	200601200146	20060120014601	765.631157804212
61	02	01	765.18522113	40	2		2		048	200601200146	20060120014601	765.631157804212
61	02	01	742.2718542	55	2		2		012	200601200147	20060120014701	743.271299483587
61	01	01	677.18334857	72	2		2		228	200601200148	20060120014801	679.603568221828
61	02	01	677.18334857	70	2		2		060	200601200148	20060120014801	679.603568221828
61	06	01	677.18334857	70	2		2		060	200601200148	20060120014801	679.603568221828
61	01	01	576.73575237	48	2		2		120	200601200150	20060120015001	576.254220571551
61	01	01	700.22136578	17	2		2		001	200601200151	20060120015101	704.322139817208
61	01	01	1472.1753388	42	2		2		060	200601200154	20060120015401	1475.86871891233
61	02	01	1472.1753388	56	1	56	2		012	200601200154	20060120015401	1475.86871891233
61	04	01	1472.1753388	56	1	56	2		012	200601200154	20060120015401	1475.86871891233
61	01	01	1518.0020727	60	1	60	2		096	200601200155	20060120015501	1520.58843555358
61	03	01	1518.0020727	30	2		2		001	200601200155	20060120015501	1520.58843555358
61	01	01	1350.914349	48	2		2		036	200601200158	20060120015801	1346.39867224436
61	01	01	1350.914349	72	2		2		048	200601200159	20060120015901	1346.39867224436
61	02	01	1350.914349	60	2		2		004	200601200159	20060120015901	1346.39867224436
61	01	01	1363.7259782	48	1	48	2		000	200601200160	20060120016001	1362.15933480537
61	01	01	1259.3550363	48	2		2		060	200601200161	20060120016101	1263.58292606309
61	02	01	1259.3550363	8	2		2		000	200601200161	20060120016101	1263.58292606309
61	01	01	1340.7350384	72	1	72	2		000	200601200162	20060120016201	1340.7526067606
61	02	01	1458.5436801	48	2		2		024	200601200163	20060120016301	1457.41418922928
61	01	01	1223.4583125	60	2		2		008	200601200164	20060120016401	1219.79184835609
61	02	01	1223.4583125	60	2		2		008	200601200164	20060120016401	1219.79184835609
61	01	01	812.81570184	30	2		2		048	200601200165	20060120016501	815.801976269249
61	02	01	812.81570184	50	2		2		012	200601200165	20060120016501	815.801976269249
61	02	01	955.29140146	48	2		2		000	200601200166	20060120016601	956.923728798477
61	04	01	955.29140146	50	2		2		004	200601200166	20060120016601	956.923728798477
61	03	01	858.69733082	40	2		2		240	200601200167	20060120016701	859.959942687453
61	01	01	752.40683671	60	2		2		060	200601200168	20060120016801	753.610344188344
61	01	01	617.55040371	24	1	24	2		072	200601200169	20060120016901	617.19777419506
61	01	01	818.99988665	70	2		2		240	200601200170	20060120017001	821.13891629667
61	01	01	805.99987248	50	2		2		120	200601200171	20060120017101	806.574711427722
61	01	01	736.0876694	34	2		2		036	200601200172	20060120017201	737.934359456166
61	02	01	736.0876694	24	2		2		072	200601200172	20060120017201	737.934359456166
61	02	01	588.23122223	72	2		2		024	200601200173	20060120017301	586.957584593932
61	01	01	714.17698446	48	2		2		360	200601200174	20060120017401	712.423055295609
61	02	01	685.9048997	55	2		2		012	200601200175	20060120017501	686.268771249881
61	02	01	726.03771182	48	2		2		012	200601200176	20060120017601	728.017300471821
61	01	01	771.59103568	60	2		2		003	200601200177	20060120017701	773.511489084715
61	02	01	771.59103568	60	2		2		012	200601200177	20060120017701	773.511489084715
61	01	01	771.59103568	50	2		2		060	200601200178	20060120017801	773.511489084715
61	02	01	771.59103568	48	2		2		036	200601200178	20060120017801	773.511489084715
61	01	01	671.9272513	50	2		2		300	200601200179	20060120017901	672.107259163578
61	03	01	671.9272513	8	2		2		000	200601200179	20060120017901	672.107259163578
61	01	01	656.37494814	4	2		2		000	200601200183	20060120018301	656.048284553381
61	02	01	656.37494814	40	2		2		012	200601200183	20060120018301	656.048284553381
61	03	01	656.37494814	24	2		2		006	200601200183	20060120018301	656.048284553381
61	01	01	736.0876694	70	2		2		001	200601200184	20060120018401	737.934359456166
61	02	01	736.0876694	72	2		2		012	200601200184	20060120018401	737.934359456166
61	01	01	675.45717452	50	2		1	8	012	200601200185	20060120018501	673.19933612218
61	02	01	675.45717452	6	2		2		012	200601200185	20060120018501	673.19933612218
61	02	01	707.43061758	48	2		2		072	200601200186	20060120018601	707.684388792127
61	01	01	777.33985254	72	2		2		036	200601200187	20060120018701	775.92092628098
61	03	01	777.33985254	20	2		2		002	200601200187	20060120018701	775.92092628098
61	05	01	777.33985254	40	2		2		001	200601200187	20060120018701	775.92092628098
61	06	01	777.33985254	12	2		2		001	200601200187	20060120018701	775.92092628098
61	01	01	564.32030529	60	2		2		060	200601200188	20060120018801	562.26849696609
61	01	01	818.99988665	50	2		2		013	200601200189	20060120018901	788.539924064964
61	02	01	818.99988665	50	2		2		013	200601200189	20060120018901	788.539924064964
61	01	02	741.83945437	70	2		2		324	200601200189	20060120018902	788.539924064964
61	01	03	629.04587358	48	1	8	2		009	200601200189	20060120018903	788.539924064964
61	01	04	741.83945437	30	2		2		003	200601200189	20060120018904	788.539924064964
61	01	05	681.86298908	72	2		2		060	200601200189	20060120018905	788.539924064964
61	01	01	700.22136578	24	2		2		094	200601200190	20060120019001	704.322139817208
61	02	01	700.22136578	48	2		2		012	200601200190	20060120019001	704.322139817208
61	01	01	778.81687986	56	2		2		096	200601200191	20060120019101	784.085687487267
61	05	01	778.81687986	24	2		2		024	200601200191	20060120019101	784.085687487267
61	09	01	352.88695301	60	2		2		036	200601200192	20060120019201	352.884377515262
61	01	01	676.08881908	30	2		2		096	200601200193	20060120019301	677.089660936286
61	03	01	676.08881908	20	2		2		000	200601200193	20060120019301	677.089660936286
61	04	01	676.08881908	24	2		2		000	200601200193	20060120019301	677.089660936286
61	02	01	765.18522113	60	2		2		000	200601200195	20060120019501	875.664379042936
61	01	02	812.81570184	77	2		2		008	200601200195	20060120019502	875.664379042936
61	02	02	812.81570184	54	1	8	2		016	200601200195	20060120019502	875.664379042936
61	01	01	818.99988665	40	2		2		120	200601200196	20060120019601	821.13891629667
61	01	01	754.83946854	60	2		2		288	200601200197	20060120019701	755.311816004083
61	02	01	711.37055562	75	2		2		072	200601200198	20060120019801	710.123399311754
61	01	01	717.77637017	70	2		2		003	200601200199	20060120019901	621.85125825098
61	01	02	581.63702262	45	2		2		000	200601200199	20060120019902	621.85125825098
61	01	03	724.18218472	60	2		2		004	200601200199	20060120019903	621.85125825098
61	01	04	712.58973538	36	2		2		024	200601200199	20060120019904	621.85125825098
61	02	04	712.58973538	10	2		2		001	200601200199	20060120019904	621.85125825098
61	01	01	765.18522113	50	2		2		030	200601200200	20060120020001	637.677718852126
61	02	01	765.18522113	54	1	54	2		096	200601200200	20060120020001	637.677718852126
61	01	03	705.18637082	48	1	8	2		001	200601200200	20060120020003	637.677718852126
61	01	01	742.2718542	70	2		2		096	200601200201	20060120020101	743.271299483587
61	02	01	742.2718542	70	2		2		096	200601200201	20060120020101	743.271299483587
61	01	01	711.37055562	60	2		2		168	200601200202	20060120020201	710.123399311754
61	02	01	711.37055562	48	2		2		001	200601200202	20060120020201	710.123399311754
61	01	01	665.54382176	48	2		2		264	200601200203	20060120020301	665.403682670504
61	02	01	665.54382176	60	2		2		288	200601200203	20060120020301	665.403682670504
61	03	01	665.54382176	56	2		2		004	200601200203	20060120020301	665.403682670504
61	02	01	667.04836606	48	1	8	2		001	200601200205	20060120020501	669.264523517072
61	01	01	688.67881844	60	2		2		006	200601200206	20060120020601	690.30693224421
61	02	01	579.08473363	48	2		2		060	200601200207	20060120020701	578.778941264238
61	01	01	688.45718869	60	2		2		024	200601200208	20060120020801	687.763540991129
61	02	01	688.45718869	9	2		2		002	200601200208	20060120020801	687.763540991129
61	01	01	651.0860481	48	2		2		036	200601200209	20060120020901	651.85861534585
61	01	01	799.81568767	55	2		2		024	200601200210	20060120021001	801.2377714003
61	02	01	799.81568767	54	2		2		004	200601200210	20060120021001	801.2377714003
61	01	01	771.59103568	48	2		2		006	200601200211	20060120021101	773.511489084715
61	01	01	593.63948677	56	2		2		120	200601200212	20060120021201	592.508686567218
61	03	01	593.63948677	54	2		2		036	200601200212	20060120021201	592.508686567218
61	01	01	718.77392019	30	2		2		009	200601200213	20060120021301	720.332959899474
