Reg	Orden	Hogar	Fex_c	P24	P26	P26n	P27	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	02	01	765.18522113	54	95	9500	4													160000	0	0	0	0	0	1	2		2		200601200103	20060120010301	765.631157804212
60	03	01	724.06252757	39	63	6390	1	1	1		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200104	20060120010401	726.09076394725
60	04	01	724.06252757	45	52	5233	1	2			425000	2		2		2		2			0	0	0	0	0	1	2		2		200601200104	20060120010401	726.09076394725
60	01	01	712.58973538	79	18	1810	1	1	9		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200105	20060120010501	714.996019872052
60	01	01	765.40685088	99	45	4521	1	2			381500	2		2		2		2			0	0	0	0	0	1	2		2		200601200106	20060120010601	768.174549057293
60	01	01	635.86170294	53	55	5521	1	2			426000	1	70000	2		2		2			0	0	0	0	0	1	2		2		200601200107	20060120010701	637.128403058969
60	02	01	697.03743223	37	74	7492	1	1	2	06	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200108	20060120010801	698.937045261855
60	03	01	697.03743223	45	52	5269	4													64000	0	0	0	0	0	1	2		2		200601200108	20060120010801	698.937045261855
60	02	01	762.22291733	83	28	2811	1	1	1		425000	1	90000	2		2		2			100000	0	0	0	0	1	1	1	1	1	200601200110	20060120011001	762.78945450194
60	01	01	806.63151704	95	45	4522	1	1	2	05	425000	2		2		2		2			0	0	0	0	0	1	1	1	2		200601200111	20060120011101	810.465036241827
60	03	01	806.63151704	83	28	2811	1	1	2	01	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200111	20060120011101	810.465036241827
60	01	01	759.00103633	93	45	4552	4													98	0	0	0	0	0	1	1	5	2		200601200112	20060120011201	760.29421777679
60	02	01	759.00103633	13	80	8041	2	1	1		98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200112	20060120011201	760.29421777679
60	01	01	809.6317683	53	15	1551	4													120000	80000	0	0	0	0	1	2		2		200601200113	20060120011301	810.416881713895
60	02	01	809.6317683	98	60	6021	1	1	1		98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200113	20060120011301	810.416881713895
60	01	01	765.18522113	41	52	5234	4													650000	0	0	0	0	0	1	2		2		200601200115	20060120011501	765.631157804212
60	02	01	765.18522113	45	52	5234	6														0	0	0	0	0	1	2		2		200601200115	20060120011501	765.631157804212
60	01	01	776.31478554	55	70	7020	1	1	1		500000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200116	20060120011601	777.895617333482
60	02	01	776.31478554	54	95	9500	4													120000	0	0	0	0	0	1	1	5	2		200601200116	20060120011601	777.895617333482
