Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	05	01	2441.9119403	30	50	61	1	06	2	30	61	01	5	0140	8	0	0	0	0	0	0	200601300880	20060130088001	2451.55893999946
70	06	01	2441.9119403	30	50	61	1	06	2	30	61	01	5	0140	8	0	0	0	0	0	0	200601300880	20060130088001	2451.55893999946
70	02	01	3497.9760439	43	40	61	5	06	2	43	61	01	5	0140	8	0	0	0	0	0	0	200601300882	20060130088201	3504.10735944391
70	04	01	1417.4140772	52	40	54	3	01	2	52	56	93	5	9301	7	0	0	0	0	0	0	200601300891	20060130089101	1404.62117675271
70	03	01	2131.3333405	8	48	45	1	01	2	8	45	52	1	5211	6	0	0	0	0	0	0	200601300892	20060130089201	2118.47546043765
70	04	01	2131.3333405	30	48	45	1	01	1							0	0	0	0	0	0	200601300892	20060130089201	2118.47546043765
70	02	02	2000.3005692	52	40	54	5	07	2	998	54	95	3	9500	3	0	0	0	0	0	0	200601300897	20060130089702	2222.83016056723
70	03	02	2000.3005692	52	40	45	1	01	1							0	0	0	0	0	0	200601300897	20060130089702	2222.83016056723
70	03	01	2150.1095738	208	40	54	3	01	2	208	54	95	3	9500	4	0	0	0	0	0	0	200601300906	20060130090601	2126.23687052685
70	05	01	1700.7093193	208	35	13	2	07	1							0	0	0	98	0	0	200601300907	20060130090701	1725.41562953953
70	03	01	2724.4432954	4	40	61	5	02	1							0	0	0	0	0	0	200601300908	20060130090801	2709.95614369181
70	04	01	3103.4845003	104	49	61	5	01	2	8	61	01	5	0140	8	0	0	0	0	0	0	200601300910	20060130091001	3124.93479483487
70	03	01	2318.4605111	4	48	61	5	01	2	8	61	01	5	0140	8	0	0	0	0	0	0	200601300913	20060130091301	2328.44787782798
70	04	01	1487.4765552	8	48	62	4	01	2	8	45	52	5	5269	0	0	0	0	0	0	0	200601300918	20060130091801	1461.86907953327
70	02	01	1190.7298149	104	48	54	3	01	2	104	77	15	1	1551	7	0	0	0	0	0	0	200601300919	20060130091901	1192.14990301404
70	03	01	1194.6747976	5	40	45	1	08	2	5	45	52	1	5211	6	200000	0	0	0	0	0	200601300921	20060130092101	1201.58269920949
70	02	01	2432.3769953	4	40	54	3	10	2	4	54	95	3	9500	8	80000	0	0	0	0	0	200601300935	20060130093501	2409.76768645894
70	02	01	2216.2375242	52	50	62	4	01	2	998	54	95	3	9500	4	0	0	0	0	0	0	200601300937	20060130093701	2217.28359907048
70	01	01	2554.8034141	4	50	60	1	01	2	2	60	01	1	0117	1	384000	0	0	0	0	0	200601300942	20060130094201	2564.78991124894
70	12	01	2126.414967	1	40	55	3	10	2	4	55	95	3	9500	4	120000	0	0	0	0	0	200601300946	20060130094601	2092.3213651382
70	06	01	2606.7720028	8	48	54	3	01	2	8	54	95	3	9500	3	0	0	0	300000	0	0	200601300950	20060130095001	2606.98308729415
70	05	01	982.66461336	30	40	54	3	01	2	30	54	95	3	9500	8	0	0	0	0	0	0	200601300955	20060130095501	959.905496238724
70	07	01	982.66461336	34	45	62	1	01	2	34	62	01	1	0121	8	0	0	0	0	0	0	200601300955	20060130095501	959.905496238724
70	03	01	1092.9635978	43	45	95	1	07	2	13	95	45	1	4521	8	0	0	0	0	0	0	200601300956	20060130095601	1095.89592766957
70	04	01	1032.1352196	8	54	54	3	01	2	8	54	95	3	9500	8	0	0	0	0	0	0	200601300967	20060130096701	1026.0677581094
70	04	01	1039.7301041	4	48	45	1	07	1							0	0	0	0	0	0	200601300978	20060130097801	1044.22778640139
70	04	01	1144.3526813	4	54	54	3	01	2	4	54	95	3	9500	8	98	0	0	0	0	0	200601300993	20060130099301	1115.49863186754
70	02	01	1127.0714686	43	48	54	3	01	2	8	53	55	1	5521	8	50000	0	0	0	0	0	200601300999	20060130099901	1130.46778548654
70	06	01	1001.3977354	8	40	98	1	09	2	8	95	45	1	4521	8	0	0	0	0	0	0	200601301001	20060130100101	987.315091612795
70	08	01	1001.3977354	52	40	62	1	01	1							0	0	0	0	0	0	200601301001	20060130100101	987.315091612795
70	01	01	1101.8507835	1	50	62	4	02	2	1	98	60	5	6039	6	400000	0	0	0	0	0	200601301004	20060130100401	1102.80291812802
70	03	01	1114.4012631	13	50	45	5	08	2	17	62	01	4	0116	4	0	0	0	200000	0	0	200601301005	20060130100501	1121.68729457877
70	04	01	1033.5031859	17	50	62	4	09	2	17	62	01	4	0116	8	0	0	0	0	0	0	200601301010	20060130101001	1051.79498540901
70	03	01	1234.6835713	4	40	62	1	01	2	4	62	01	1	0116	8	240000	0	0	0	0	0	200601301013	20060130101301	1239.98773745777
70	03	01	1301.559474	8	50	45	1	01	2	8	45	52	1	5233	8	0	0	0	0	0	0	200601301017	20060130101701	1309.04697460935
70	06	01	1785.1101143	8	50	54	3	01	2	8	54	95	3	9500	8	0	0	0	0	0	0	200601301037	20060130103701	1791.82277902077
70	03	01	1556.5797884	8	48	95	1	05	2	8	95	45	1	4521	8	0	0	0	0	0	0	200601301040	20060130104001	1550.77127099648
70	04	01	1531.0861531	4	60	45	1	02	2	4	45	92	1	9242	8	700000	0	0	0	0	0	200601301042	20060130104201	1598.84609440291
70	02	01	1623.3651142	8	48	90	1	14	2	8	90	25	1	2529	8	0	0	0	0	0	0	200601301045	20060130104501	1613.40298901617
70	01	01	1382.4689169	2	54	62	4	01	2	2	95	45	1	4521	8	360000	0	0	0	0	0	200601301047	20060130104701	1368.78836929731
70	02	01	1382.4689169	4	48	54	3	01	2	6	54	95	3	9500	8	0	0	0	0	0	0	200601301047	20060130104701	1368.78836929731
70	04	01	1261.8396121	4	48	55	1	01	2	104	53	55	1	5521	1	0	0	0	0	0	0	200601301049	20060130104901	1277.9251673856
