Reg	Orden	Hogar	Fex_c	P60	P61	P61a	P62	P63	P64	P64a	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Llave_viv	Llave_hog	Fex_c_2011
80	02	01	2800.8035253	2				2			0	0	0	740000	0	0	200601300115	20060130011501	2804.14381945988
80	03	01	2800.8035253	2				2			0	0	0	0	0	0	200601300115	20060130011501	2804.14381945988
80	04	01	2800.8035253	2				2			0	0	0	0	0	0	200601300115	20060130011501	2804.14381945988
80	05	01	2522.0862827	2				2			0	0	0	0	0	0	200601300116	20060130011601	2507.26006515076
80	06	01	2522.0862827	2				2			0	0	0	0	0	0	200601300116	20060130011601	2507.26006515076
80	02	01	3332.1514675	2				2			0	0	0	0	0	0	200601300117	20060130011701	3355.59173032886
80	01	01	3497.2268297								0	0	0	0	0	0	200601300118	20060130011801	3507.76537203207
80	03	01	3497.2268297	2				2			0	0	0	0	0	0	200601300118	20060130011801	3507.76537203207
80	02	01	3688.6423759	2				2			0	0	0	0	0	0	200601300119	20060130011901	3655.76429837306
80	02	01	3597.9820986	2				2			0	0	0	0	0	0	200601300120	20060130012001	3574.01578539517
80	03	01	3597.9820986	2				2			0	0	0	0	0	0	200601300120	20060130012001	3574.01578539517
80	04	01	3597.9820986	2				2			0	0	0	0	0	0	200601300120	20060130012001	3574.01578539517
80	05	01	3597.9820986	2				2			0	0	0	0	0	0	200601300120	20060130012001	3574.01578539517
80	01	01	3100.3272059								0	0	0	0	0	0	200601300121	20060130012101	3118.14120426758
80	01	01	3949.6900595								0	0	600000	0	0	0	200601300122	20060130012201	3978.06752285127
80	02	01	3949.6900595	1	4	3	2				0	0	0	0	0	0	200601300122	20060130012201	3978.06752285127
80	03	01	3949.6900595	2				2			0	0	0	0	0	0	200601300122	20060130012201	3978.06752285127
80	01	01	3100.3272059	2				2			0	0	0	98	0	0	200601300123	20060130012301	3118.14120426758
80	02	01	2138.8970534	1	4	3	2				0	0	0	0	0	0	200601300124	20060130012401	2153.94328095039
80	02	01	2150.0918697	2				2			0	0	0	0	0	0	200601300126	20060130012601	2190.32471937608
80	03	01	2150.0918697	2				2			0	0	0	0	0	0	200601300126	20060130012601	2190.32471937608
80	01	01	1911.7129249								0	0	0	0	1200000	0	200601300127	20060130012701	1911.95151763008
80	02	01	1911.7129249	2				2			0	0	0	20000	0	0	200601300127	20060130012701	1911.95151763008
80	03	01	1911.7129249	2				2			0	0	0	200000	0	0	200601300127	20060130012701	1911.95151763008
80	04	01	1911.7129249	2				2			0	0	0	200000	0	0	200601300127	20060130012701	1911.95151763008
80	01	01	1973.921371	1	4	3	2				0	0	0	0	0	0	200601300128	20060130012801	1982.89122075689
80	01	01	2451.8601483	1	4	4	2				0	0	0	0	0	0	200601300129	20060130012901	2456.51585237854
80	02	01	2256.7252953	2				2			0	0	0	150000	0	0	200601300130	20060130013001	2261.46050035862
80	03	01	2256.7252953	1	2	2	2				0	0	0	0	0	0	200601300130	20060130013001	2261.46050035862
80	04	01	2256.7252953	2				2			0	0	0	0	0	0	200601300130	20060130013001	2261.46050035862
80	01	01	2138.8970534	1	4	4	2				0	0	0	240000	0	0	200601300131	20060130013101	2153.94328095039
80	02	01	2138.8970534								0	0	0	0	0	0	200601300131	20060130013101	2153.94328095039
80	02	01	2383.9445107	2				2			0	0	0	0	0	0	200601300132	20060130013201	2364.64889766478
80	04	01	2383.9445107	2				2			0	0	0	0	0	0	200601300132	20060130013201	2364.64889766478
80	05	01	2383.9445107	2				2			0	0	0	0	0	0	200601300132	20060130013201	2364.64889766478
80	06	01	2383.9445107	2				2			0	0	0	0	0	0	200601300132	20060130013201	2364.64889766478
80	02	01	3231.0272213	1	4	0	2				0	0	0	0	0	0	200601300133	20060130013301	3243.45518818988
80	02	01	2275.8288508	2				2			0	0	0	0	0	0	200601300134	20060130013401	2213.80279210765
80	03	01	2275.8288508	2				2			0	0	0	0	0	0	200601300134	20060130013401	2213.80279210765
80	04	01	2275.8288508	2				2			0	0	0	0	0	0	200601300134	20060130013401	2213.80279210765
80	05	01	2275.8288508	2				2			0	0	0	0	0	0	200601300134	20060130013401	2213.80279210765
80	06	01	2275.8288508	2				2			0	0	0	0	0	0	200601300134	20060130013401	2213.80279210765
80	02	01	2296.1537459	2				2			0	0	0	0	0	0	200601300135	20060130013501	2302.07089769297
80	02	01	3053.1367089								0	0	0	0	0	0	200601300139	20060130013901	3065.07114617363
80	02	01	1838.4634257	1	2	3	2				0	0	0	0	0	0	200601300141	20060130014101	1857.47618448857
80	03	01	1829.528703	1	1	6	2				0	0	0	0	0	0	200601300142	20060130014201	1829.4778768732
80	04	01	1829.528703	2				2			0	0	0	0	0	0	200601300142	20060130014201	1829.4778768732
80	07	01	1766.2461651	2				2			0	0	0	0	0	0	200601300144	20060130014401	1746.39243268652
80	02	01	1914.3514727	2				2			0	0	0	140000	0	0	200601300146	20060130014601	1911.80639880262
80	03	01	1914.3514727	2				2			0	0	0	0	0	0	200601300146	20060130014601	1911.80639880262
80	04	01	1914.3514727	2				2			0	0	0	0	0	0	200601300146	20060130014601	1911.80639880262
80	02	01	2025.9323574								0	0	0	0	0	0	200601300149	20060130014901	2021.87586907502
80	05	01	2025.9323574	2				2			0	0	0	0	0	0	200601300149	20060130014901	2021.87586907502
80	01	01	1754.4736545	1	3	4	1		1	04	0	0	0	0	0	0	200601300150	20060130015001	1761.11797535762
80	02	01	1754.4736545								0	0	0	0	0	0	200601300150	20060130015001	1761.11797535762
80	02	01	1711.1176427	2				2			0	0	0	0	0	0	200601300151	20060130015101	1723.15462476031
80	02	01	2117.6390073	2				2			0	0	0	1400000	0	0	200601300152	20060130015201	2104.64288720161
80	04	01	2117.6390073	2				2			0	0	0	0	0	0	200601300152	20060130015201	2104.64288720161
80	05	01	2117.6390073	2				2			0	0	0	0	0	0	200601300152	20060130015201	2104.64288720161
80	02	01	1680.8645897	2				2			0	0	0	54000	0	0	200601300153	20060130015301	1684.19225041863
80	03	01	1680.8645897	2				2			0	0	0	0	0	0	200601300153	20060130015301	1684.19225041863
80	04	01	1680.8645897	2				2			0	0	0	0	0	0	200601300153	20060130015301	1684.19225041863
80	02	01	1975.0257757	2				2			0	0	0	0	0	0	200601300154	20060130015401	1973.82544414574
80	03	01	1975.0257757	2				2			0	0	0	0	0	0	200601300154	20060130015401	1973.82544414574
80	04	01	1975.0257757	2				2			0	0	0	0	0	0	200601300154	20060130015401	1973.82544414574
80	01	01	1970.4439716								0	0	0	0	0	0	200601300155	20060130015501	1994.31783264338
80	02	01	2056.4453499	2				2			0	0	0	0	0	0	200601300156	20060130015601	2066.04657299925
80	02	01	1968.8194088	2				2			0	0	0	0	0	0	200601300157	20060130015701	1965.51327382779
80	03	01	1968.8194088	2				2			60000	0	0	0	0	0	200601300157	20060130015701	1965.51327382779
80	04	01	1968.8194088	2				1	1	02	0	0	0	0	0	0	200601300157	20060130015701	1965.51327382779
80	02	01	1726.9343352	2				2			0	0	0	0	0	0	200601300158	20060130015801	1729.21493486495
80	05	01	1726.9343352	2				2			0	0	0	0	0	0	200601300158	20060130015801	1729.21493486495
80	06	01	1726.9343352								0	0	0	0	0	0	200601300158	20060130015801	1729.21493486495
80	02	01	2035.561142	2				2			0	0	0	120000	0	0	200601300159	20060130015901	2033.73422370522
80	03	01	2035.561142	2				2			0	0	0	0	0	0	200601300159	20060130015901	2033.73422370522
80	04	01	2035.561142	2				2			0	0	0	0	0	0	200601300159	20060130015901	2033.73422370522
80	02	01	1942.2560953	2				2			0	0	0	123000	0	0	200601300160	20060130016001	1943.17284958286
80	04	01	1942.2560953	2				2			0	0	0	0	0	0	200601300160	20060130016001	1943.17284958286
80	02	01	1895.2763137	2				2			0	0	0	0	0	0	200601300161	20060130016101	1943.58641712698
80	04	01	1895.2763137	2				2			0	0	0	0	0	0	200601300161	20060130016101	1943.58641712698
80	05	01	1895.2763137								0	0	0	0	0	0	200601300161	20060130016101	1943.58641712698
80	04	01	1908.1205137	2				2			0	0	0	0	0	0	200601300162	20060130016201	1920.35007952104
80	01	01	1751.2790445								0	0	0	0	0	0	200601300163	20060130016301	1761.34162182152
80	01	01	1847.116961								0	0	0	100000	0	0	200601300164	20060130016401	1846.76039038685
80	02	01	1847.116961	2				2			0	0	0	0	0	0	200601300164	20060130016401	1846.76039038685
80	03	01	1915.6927819	2				2			0	0	0	0	0	0	200601300165	20060130016501	1920.83242533792
80	04	01	1915.6927819	2				2			0	0	0	0	0	0	200601300165	20060130016501	1920.83242533792
80	07	01	2448.3252731	1	4	4	2				0	0	0	0	0	0	200601300166	20060130016601	2452.90760902534
80	01	01	2489.0095407	1	4	4	2				0	0	0	100000	0	0	200601300168	20060130016801	2521.04817527823
80	03	01	2489.0095407	1	2	2	2				0	0	0	0	0	0	200601300168	20060130016801	2521.04817527823
80	05	01	2489.0095407								0	0	0	0	0	0	200601300168	20060130016801	2521.04817527823
80	03	01	2832.6517929	2				2			0	0	0	0	0	0	200601300169	20060130016901	2820.22215624569
80	04	01	2832.6517929	2				2			0	0	0	0	0	0	200601300169	20060130016901	2820.22215624569
80	03	01	2654.7554427	2				2			0	0	0	200000	0	0	200601300170	20060130017001	2668.35114786103
80	02	01	3434.5456573	1	2	4	2				0	0	0	0	0	0	200601300171	20060130017101	3454.40503948511
80	03	01	3434.5456573	1	1	8	2				40000	0	0	400000	0	0	200601300171	20060130017101	3454.40503948511
80	02	01	3394.5601602	1	3	3	2				0	0	0	0	0	0	200601300172	20060130017201	3359.74155157338
