Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	03	01	635.86170294	104	48	45	1	01	2	26	77	15	1	1551	7	0	0	0	0	0	0	200601200322	20060120032201	637.128403058969
70	02	01	1389.7260065	8	48	33	1	01	2	8	70	18	1	1810	8	0	0	0	0	0	0	200601200323	20060120032301	1391.28774454326
70	02	01	903.67354995	156	48	95	1	10	2	208	95	26	1	2695	8	98	0	0	0	0	0	200601200337	20060120033701	905.88589808367
70	03	01	955.29140146	52	48	39	1	14	2	4	97	24	1	2424	8	0	0	0	0	0	0	200601200339	20060120033901	956.923728798477
70	06	01	769.60092877	52	48	45	1	07	2	52	79	18	1	1810	7	0	0	0	98	0	0	200601200348	20060120034801	876.114727030829
70	03	02	806.63151704	30	48	38	1	01	2	2	33	52	1	5219	8	0	0	0	0	0	0	200601200348	20060120034802	876.114727030829
70	01	01	812.81570184	17	48	77	1	01	2	17	77	15	1	1551	8	0	0	0	0	0	0	200601200351	20060120035101	815.801976269249
70	03	01	845.69731665	8	48	98	4	01	2	8	33	67	4	6719	7	0	0	0	0	0	0	200601200352	20060120035201	845.395737818504
70	01	01	800.44733223	26	48	37	1	01	2	3	58	52	1	5233	8	380000	0	0	0	0	0	200601200356	20060120035601	805.128096214405
70	05	01	694.74334609	52	48	79	1	09	2	156	79	18	1	1810	8	0	0	0	0	0	0	200601200357	20060120035701	695.850574346122
70	03	01	624.95080016	104	48	42	1	02	1							0	0	0	0	0	0	200601200359	20060120035901	627.003520300076
70	01	01	671.36506923	26	48	57	4	01	2	4	57	93	4	9302	7	98	0	0	360000	0	0	200601200365	20060120036501	672.705532687518
70	02	01	674.99696504	4	48	45	1	01	2	52	81	36	1	3611	8	0	0	0	98	0	0	200601200366	20060120036601	736.410105747379
70	01	01	678.74308066	2	48	95	4	02	2	2	95	45	4	4552	8	0	0	0	0	0	0	200601200367	20060120036701	681.334524005105
70	01	01	765.18522113	52	48	79	1	01	2	52	45	52	4	5269	7	0	0	0	0	0	0	200601200368	20060120036801	765.631157804212
70	03	01	745.90375002	52	48	54	3	10	2	998	97	22	1	2240	7	0	0	0	0	0	0	200601200371	20060120037101	747.113469769761
70	03	01	845.69731665	8	48	45	1	01	2	4	45	52	1	5241	8	381500	0	0	0	0	0	200601200375	20060120037501	845.395737818504
70	03	01	848.6318108	52	70	98	1	10	2	8	98	60	1	6041	7	100000	0	0	0	0	0	200601200376	20060120037601	854.109496320742
70	06	01	624.12497789	8	48	45	1	01	2	2	57	74	1	7494	8	100000	0	0	0	0	0	200601200380	20060120038001	630.344847818231
70	02	01	906.22583894	4	48	37	1	02	2	4	37	70	1	7020	8	425000	400000	0	0	0	0	200601200381	20060120038101	907.380667824918
70	02	01	840.43128709	13	48	97	4	01	2	4	97	74	4	7495	7	200000	0	0	0	0	0	200601200395	20060120039501	841.482412149574
70	03	01	840.43128709	8	48	59	1	01	2	3	59	85	1	8513	8	300000	0	0	0	0	0	200601200395	20060120039501	841.482412149574
70	04	01	752.28717956	26	48	75	1	02	1							0	0	0	0	0	0	200601200408	20060120040801	753.817046262835
70	01	01	1006.4518054	4	48	13	1	01	2	8	13	80	1	8043	8	0	0	0	400000	0	98	200601200409	20060120040901	1008.18662422212
70	03	01	659.35963696	8	48	32	1	01	2	4	45	52	1	5234	8	98	0	0	0	0	0	200601200411	20060120041101	660.066742643082
70	03	01	845.69731665	26	48	93	1	01	2	26	85	72	1	7250	8	0	0	0	0	0	0	200601200412	20060120041201	845.395737818504
70	05	01	859.22700279	52	48	89	1	01	2	4	81	36	1	3611	8	300000	0	0	0	0	0	200601200413	20060120041301	861.100174173987
70	04	01	791.61654243	8	48	53	1	01	2	8	53	80	1	8041	8	0	0	0	0	0	0	200601200415	20060120041501	788.981623301904
70	02	01	759.00103633	52	48	13	1	01	2	130	13	80	2	8043	3	0	0	0	0	0	0	200601200424	20060120042401	760.29421777679
70	02	01	806.63151704	26	48	32	1	01	2	26	39	51	1	5121	3	0	0	0	0	0	0	200601200432	20060120043201	810.465036241827
70	01	01	871.81700214	4	48	81	1	01	2	4	81	36	1	3611	8	98	0	0	0	0	0	200601200436	20060120043601	874.317445481912
70	02	01	561.18344921	4	48	79	1	01	2	21	79	18	1	1810	3	0	0	0	2400000	0	0	200601200438	20060120043801	560.195245961353
70	02	01	717.77637017	52	48	34	1	01	2	52	39	74	1	7413	3	0	0	0	0	0	0	200601200446	20060120044601	718.003730592257
70	03	01	682.49463363	8	48	97	1	07	1							0	0	0	0	0	0	200601200448	20060120044801	684.969992216788
70	01	01	594.63703679	4	48	53	1	05	2	52	55	74	4	7493	8	0	0	0	98	0	0	200601200453	20060120045301	594.837915874435
70	02	01	594.63703679	52	48	54	3	09	1							0	0	0	98	0	0	200601200453	20060120045301	594.837915874435
70	01	02	724.18218472	4	48	37	1	07	2	4	37	52	1	5231	1	490000	0	0	0	0	0	200601200454	20060120045402	481.400527263366
70	02	02	724.18218472	52	48	97	1	07	2	52	97	18	1	1810	8	0	0	0	0	0	0	200601200454	20060120045402	481.400527263366
70	02	01	426.78722569	2	48	58	1	02	2	2	53	55	1	5522	6	381500	0	0	0	0	0	200601200456	20060120045601	420.434309116557
70	02	01	716.2216312	2	48	54	3	01	2	3	45	50	1	5051	3	700000	0	0	0	0	0	200601200458	20060120045801	718.838190158226
70	03	01	511.50318979	8	48	79	1	01	2	13	79	18	1	1810	8	0	0	0	0	0	0	200601200460	20060120046001	509.089967780849
70	02	01	642.04588775	30	48	45	1	01	2	30	92	18	1	1810	8	0	0	0	0	0	0	200601200461	20060120046101	642.465343086391
70	02	01	594.63703679	52	48	13	1	01	2	52	13	80	1	8011	8	0	0	0	0	0	0	200601200464	20060120046401	594.837915874435
70	02	01	501.32387916	26	48	45	1	07	2	78	45	52	4	5269	3	0	0	0	0	0	0	200601200465	20060120046501	547.650023243228
70	06	01	501.32387916	34	48	55	1	01	2	26	79	93	1	9301	8	0	0	0	0	0	0	200601200465	20060120046501	547.650023243228
70	01	01	763.31477137	52	48	98	1	01	2	52	98	60	1	6022	8	0	0	0	0	0	0	200601200467	20060120046701	763.331412464533
70	03	01	795.65115177	78	48	33	1	01	2	78	33	63	1	6331	8	0	0	0	0	0	0	200601200470	20060120047001	795.851555144888
70	04	01	1010.0837012	21	48	98	1	01	2	21	98	60	4	6031	7	0	0	0	0	0	0	200601200477	20060120047701	1012.02879450829
70	01	01	544.45426709	52	48	45	1	01	1							0	0	0	98	0	0	200601200483	20060120048301	543.17232766815
70	01	01	575.86285262	52	48	55	1	01	2	52	53	55	1	5521	3	0	0	0	0	0	0	200601200484	20060120048401	576.283704539089
70	02	01	575.86285262	4	48	59	1	01	2	4	32	63	1	6340	8	250000	0	0	0	0	0	200601200484	20060120048401	576.283704539089
70	04	01	588.45285198	30	48	45	1	01	2	52	53	55	1	5530	6	0	0	0	0	0	0	200601200491	20060120049101	589.500975847013
70	02	01	712.58973538	13	48	45	1	01	2	13	55	52	1	5231	8	0	0	0	0	0	0	200601200492	20060120049201	714.996019872052
70	02	01	812.81570184	2	48	79	1	01	2	2	79	18	1	1810	7	426000	0	0	0	0	0	200601200495	20060120049501	815.801976269249
70	01	01	688.45718869	13	48	95	1	01	2	13	95	45	1	4522	8	0	0	0	0	2000000	0	200601200503	20060120050301	687.763540991129
70	01	01	618.1349708	52	48	95	1	01	2	52	95	45	1	4521	8	0	0	0	2500000	0	0	200601200509	20060120050901	617.776255458549
70	02	01	618.1349708	52	48	45	1	01	2	52	54	95	3	9500	3	0	0	0	0	0	0	200601200509	20060120050901	617.776255458549
70	02	01	632.6777694	104	48	07	1	01	2	104	07	85	1	8531	8	0	0	0	0	0	0	200601200511	20060120051101	631.743308503615
70	04	01	786.51367728	4	48	56	1	01	2	4	79	18	1	1810	8	426000	0	0	0	0	0	200601200522	20060120052201	789.119296591671
70	02	01	837.74871767	4	48	45	1	01	2	4	45	52	1	5233	8	426000	0	0	0	0	0	200601200524	20060120052401	838.112558361884
70	03	01	739.28716539	4	48	33	1	01	2	4	33	80	4	8050	8	381500	0	0	0	0	0	200601200525	20060120052501	739.252841393886
70	01	01	718.77392019	4	48	79	1	07	2	4	79	18	1	1810	8	426000	0	0	0	0	0	200601200526	20060120052601	601.521789462881
70	01	01	617.55040371	4	48	19	1	02	2	4	19	92	1	9249	8	390000	0	0	1800000	0	0	200601200530	20060120053001	641.752403147351
70	04	02	760.68013291	3	48	33	1	02	2	3	33	52	1	5234	8	425000	0	0	0	0	0	200601200530	20060120053002	641.752403147351
70	07	02	760.68013291	104	48	19	1	07	1							0	0	0	0	0	0	200601200530	20060120053002	641.752403147351
70	03	01	758.47136436	104	48	59	1	05	2	156	59	85	1	8511	1	0	0	0	0	0	0	200601200532	20060120053201	759.153986290257
70	06	01	659.30944229	104	48	19	1	09	2	998	39	75	1	7530	8	0	0	0	0	0	0	200601200535	20060120053501	664.762043055619
70	02	01	812.81570184	47	48	06	1	05	2	47	06	85	4	8511	8	0	0	0	0	0	0	200601200539	20060120053901	815.801976269249
70	03	01	685.49488489	4	48	45	1	01	1							0	0	0	0	0	0	200601200543	20060120054301	684.921837688856
70	03	01	805.10429505	52	48	45	1	01	2	52	32	52	1	5233	8	0	0	0	0	0	0	200601200546	20060120054601	806.995575448076
70	05	01	805.10429505	26	48	75	1	09	2	26	75	17	1	1730	8	0	0	0	0	0	0	200601200546	20060120054601	806.995575448076
70	03	01	742.2718542	8	48	45	1	07	1							0	0	0	0	0	0	200601200547	20060120054701	743.271299483587
70	01	01	812.81570184	8	48	95	1	05	2	8	95	45	4	4521	8	0	0	0	98	0	0	200601200549	20060120054901	815.801976269249
70	02	01	565.31785531	52	24	34	1	01	2	4	86	92	1	9211	8	98	0	0	0	0	0	200601200551	20060120055101	564.597726273307
