Reg	Orden	Hogar	Fex_c	P37	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P46j	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	04	01	3317.4920465	2			2					2													200601300093	20060130009301	3263.95154789512
62	01	01	5022.8074088	2			2					2													200601300094	20060130009401	5052.26845110738
62	01	01	4597.6752445	2			2					2													200601300095	20060130009501	4667.39090206705
62	01	01	4597.6752445	2			2					2													200601300096	20060130009601	4667.39090206705
62	01	01	5329.4848507	2			2					2													200601300097	20060130009701	5321.55313584948
62	02	01	5329.4848507	2			2					2													200601300097	20060130009701	5321.55313584948
62	01	01	3657.3276174	2			1	24	1	1	1			1									1	1	200601300098	20060130009801	3627.06440106604
62	02	01	3657.3276174	2			2					2													200601300098	20060130009801	3627.06440106604
62	03	01	3657.3276174	2			2					2													200601300098	20060130009801	3627.06440106604
62	04	01	3657.3276174	2			2					2													200601300098	20060130009801	3627.06440106604
62	01	01	3568.3555561	2			1	16	2	1	1			1									2	1	200601300099	20060130009901	3588.98865982345
62	03	01	3568.3555561	2			1	42	1	1	1			1		1							1	1	200601300099	20060130009901	3588.98865982345
62	01	01	3446.1663566	2			2					2													200601300100	20060130010001	3412.39151629053
62	01	01	2923.3640542	2			2					2													200601300101	20060130010101	2929.64377098163
62	02	01	2923.3640542	2			2					2													200601300101	20060130010101	2929.64377098163
62	01	01	3332.1514675	2			2					2													200601300102	20060130010201	3355.59173032886
62	01	01	3100.3272059	2			2					2													200601300103	20060130010301	3118.14120426758
62	01	01	3320.3682599	2			2					2													200601300104	20060130010401	3327.41705820835
62	01	01	2382.2253106	2			2					2													200601300105	20060130010501	2400.06852912914
62	01	01	2893.7703172	2			2					2													200601300106	20060130010601	2907.78876087322
62	02	01	2893.7703172	2			2					1		1		1			1				2	1	200601300106	20060130010601	2907.78876087322
62	05	01	2893.7703172	2			2					1								1			2	2	200601300106	20060130010601	2907.78876087322
62	01	01	2911.4023253	2			2					2													200601300107	20060130010701	2928.10878674694
62	01	01	2677.7605406	2			2					2													200601300108	20060130010801	2698.83013450314
62	02	01	2677.7605406	2			2					2													200601300108	20060130010801	2698.83013450314
62	03	01	2677.7605406	2			2					2													200601300108	20060130010801	2698.83013450314
62	03	01	2526.2008848	2			2					2													200601300109	20060130010901	2547.68111565697
62	01	01	2819.3620957	2			1	12	2	1	1			1					1				2	1	200601300110	20060130011001	2848.51897242484
62	01	01	2441.5101161	2			2					2													200601300111	20060130011101	2455.53865389937
62	01	01	2661.444904	2			1	24	2	1	1			1					1				2	2	200601300112	20060130011201	2655.70194230532
62	04	01	2661.444904	2			1	16	1	1	1			1					1				2	9	200601300112	20060130011201	2655.70194230532
62	01	01	3122.234812	1	0	2	2					2													200601300113	20060130011301	3101.04651759333
62	02	01	3122.234812	2			1	15	2	1	1							1					2	1	200601300113	20060130011301	3101.04651759333
62	01	01	3014.7804443	2			2					2													200601300114	20060130011401	3029.46528365564
62	01	01	2800.8035253	2			2					2													200601300115	20060130011501	2804.14381945988
62	01	01	2522.0862827	2			2					1		1					1				2	1	200601300116	20060130011601	2507.26006515076
62	02	01	2522.0862827	2			2					1		1									2	1	200601300116	20060130011601	2507.26006515076
62	03	01	2522.0862827	2			2					1		1									2	1	200601300116	20060130011601	2507.26006515076
62	04	01	2522.0862827	2			2					1		1					1				2	1	200601300116	20060130011601	2507.26006515076
62	01	01	3332.1514675	2			2					2													200601300117	20060130011701	3355.59173032886
62	02	01	3497.2268297	2			2					2													200601300118	20060130011801	3507.76537203207
