Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10a	P10b	P10c	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	01	01	2615.2776858	01	1	47	2	1	2	2	01		305				3	5	200601300025	20060130002501	2639.21499503224
10	02	01	2615.2776858	02	2	41	2	1	2	2	07		305				3	5	200601300025	20060130002501	2639.21499503224
10	03	01	2615.2776858	03	2	18	5	1	1			1	500				5	0	200601300025	20060130002501	2639.21499503224
10	04	01	2615.2776858	03	2	11	5	1	1			1	400				4	0	200601300025	20060130002501	2639.21499503224
10	05	01	2615.2776858	03	2	5	5	2	1			1	200	2	2		2	0	200601300025	20060130002501	2639.21499503224
10	01	01	4205.4720444	01	2	75	5	1	2	2	11		304				3	4	200601300026	20060130002601	4276.23955336263
10	02	01	4205.4720444	08	2	70	5	1	2	2	11		304				3	4	200601300026	20060130002601	4276.23955336263
10	01	01	3913.2340688	01	1	25	2	2	2	2	01		100				1	0	200601300027	20060130002701	3915.32086805225
10	02	01	3913.2340688	02	2	25	2	1	2	2	07		303				3	3	200601300027	20060130002701	3915.32086805225
10	03	01	3913.2340688	03	1	3	5												200601300027	20060130002701	3915.32086805225
10	04	01	3913.2340688	03	2	5	5	2	1			1	200	2	2		2	0	200601300027	20060130002701	3915.32086805225
10	01	01	3486.4908495	01	1	33	2	1	2	2	01		303				3	3	200601300028	20060130002801	3491.72327783302
10	02	01	3486.4908495	02	2	29	2	1	2	2	02		305				3	5	200601300028	20060130002801	3491.72327783302
10	03	01	3486.4908495	03	2	9	5	1	1			1	303	2	2		3	3	200601300028	20060130002801	3491.72327783302
10	04	01	3486.4908495	03	2	2	5												200601300028	20060130002801	3491.72327783302
10	01	01	3844.0913503	01	1	51	2	1	2	2	01		302				3	2	200601300029	20060130002901	3855.96712733129
10	02	01	3844.0913503	02	2	46	2	1	2	2	07		305				3	5	200601300029	20060130002901	3855.96712733129
10	03	01	3844.0913503	03	2	24	5	1	2	2	02		611				6	11	200601300029	20060130002901	3855.96712733129
10	04	01	3844.0913503	03	1	14	5	1	1			1	400				4	0	200601300029	20060130002901	3855.96712733129
10	01	01	2964.1374339	01	1	67	3	2	2	2	01		100				1	0	200601300030	20060130003001	2987.63771812612
10	02	01	2964.1374339	03	1	27	5	2	2	2	11		100				1	0	200601300030	20060130003001	2987.63771812612
10	03	01	2964.1374339	03	2	38	5	1	2	2	11		305				3	5	200601300030	20060130003001	2987.63771812612
10	04	01	2964.1374339	05	2	11	5	1	2	2	11		305				3	5	200601300030	20060130003001	2987.63771812612
10	05	01	2964.1374339	05	2	8	5	1	1			1	304	2	1	005	3	4	200601300030	20060130003001	2987.63771812612
10	06	01	2964.1374339	05	1	2	5												200601300030	20060130003001	2987.63771812612
10	07	01	2964.1374339	03	2	33	5	1	2	2	02		305				3	5	200601300030	20060130003001	2987.63771812612
10	08	01	2964.1374339	05	2	6	5	2	1			1	300	2	1	002	3	0	200601300030	20060130003001	2987.63771812612
10	09	01	2964.1374339	05	1	3	5												200601300030	20060130003001	2987.63771812612
10	01	01	4130.3268279	01	1	37	2	1	2	2	01		304				3	4	200601300031	20060130003101	4127.9890698225
10	02	01	4130.3268279	02	2	32	2	2	2	2	06		100				1	0	200601300031	20060130003101	4127.9890698225
10	03	01	4130.3268279	03	1	12	5	1	2	2	05		305				3	5	200601300031	20060130003101	4127.9890698225
10	04	01	4130.3268279	03	2	10	5	1	1			1	304				3	4	200601300031	20060130003101	4127.9890698225
10	05	01	4130.3268279	03	1	9	5	1	1			1	302	2	2		3	2	200601300031	20060130003101	4127.9890698225
10	01	01	4199.4695464	01	1	26	1	1	2	2	01		303				3	3	200601300032	20060130003201	4187.34281054345
10	02	01	4199.4695464	02	2	28	1	1	2	2	07		304				3	4	200601300032	20060130003201	4187.34281054345
