Reg	Orden	Hogar	Area	Fex_c	Rama4d	P49	P50	P51	P52	P52na	P53	P54	P55	P56	P57	P57na	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Dsi	Llave_viv	Llave_hog	Fex_c_2011
70	01	01	05	700.22268672	8043	4	48	53	1	09	2	4	53	80	1	8	300000	0	0	0	0	0	1	200601100269	20060110026901	700.871867426374
70	01	01	05	785.62103422	7512	1	48	19	1	01	2	2	19	75	4	8	1600000	0	0	0	0	0	1	200601100271	20060110027101	785.818429283935
70	01	01	05	839.93752434	8043	52	48	13	1	01	2	52	13	80	1	3	0	0	0	0	2500000	0	1	200601100274	20060110027401	839.426148347083
70	03	01	05	839.93752434	8043	52	48	13	1	01	2	52	13	80	2	8	0	900000	0	0	0	0	1	200601100274	20060110027401	839.426148347083
70	02	01	05	705.83658903	5522	52	48	45	1	01	2	998	45	55	1	3	0	0	0	0	0	0	1	200601100279	20060110027901	704.786459284332
70	03	01	05	763.22389726	5222	104	48	45	1	12	2	998	97	52	1	6	0	0	0	0	0	0	1	200601100283	20060110028301	764.53908084561
70	04	01	05	763.22389726	4552	6	48	99	1	14	2	6	99	45	1	8	100000	0	0	0	0	0	1	200601100283	20060110028301	764.53908084561
70	02	01	05	809.79566054	2899	78	48	84	1	05	2	998	83	28	1	4	0	0	0	0	0	0	1	200601100284	20060110028401	810.416881713895
70	06	01	05	505.95918846	5511	52	48	54	1	03	2	52	54	55	1	8	0	0	0	0	0	0	1	200601100286	20060110028601	504.772165297722
70	02	01	05	621.02292184	5233	52	48	45	1	01	2	52	45	52	1	8	0	0	0	0	0	0	1	200601100292	20060110029201	622.56419819002
70	04	01	05	689.52176612	4552	4	48	53	1	14	2	8	93	45	4	8	0	0	0	0	0	0	1	200601100294	20060110029401	690.30693224421
70	04	01	05	1047.7486974	5219	4	48	45	1	02	2	4	45	52	1	8	381500	0	0	0	0	0	1	200601100295	20060110029501	1051.10227170201
70	02	01	05	1482.124074	1551	52	48	45	1	01	2	52	45	15	1	8	0	0	0	98	0	0	1	200601100296	20060110029601	1478.5036180993
70	01	01	05	1283.5186339	9000	52	48	98	1	03	2	65	99	90	1	4	0	0	0	0	0	0	1	200601100298	20060110029801	1280.27222755835
70	03	01	05	1283.5186339	5219	4	48	45	1	01	2	4	45	52	1	8	425000	0	0	0	0	0	1	200601100298	20060110029801	1280.27222755835
70	01	01	05	594.73326059	9500	52	48	54	4	01	2	52	54	95	4	7	0	0	0	0	0	0	1	200601100306	20060110030601	594.40866469371
70	03	01	05	594.73326059	5219	34	48	45	1	01	2	4	45	52	1	8	0	0	0	0	0	0	1	200601100306	20060110030601	594.40866469371
70	01	02	05	594.73326059	1921	52	48	80	1	01	2	2	80	19	1	8	400000	0	0	1000000	0	0	1	200601100306	20060110030602	594.40866469371
70	02	01	05	678.93509816	5521	13	50	53	1	01	2	8	53	55	1	7	0	0	0	0	0	0	1	200601100307	20060110030701	679.808547521522
70	04	01	05	678.93509816	1810	104	48	79	1	01	2	104	79	18	1	8	0	0	0	0	0	0	1	200601100307	20060110030701	679.808547521522
70	01	01	05	645.67407608	1810	4	48	79	1	07	2	4	79	18	1	8	90000	0	0	0	0	0	1	200601100309	20060110030901	643.17112004289
70	01	01	05	753.21789075	5269	4	48	37	1	01	2	4	45	52	4	8	98	0	0	0	0	0	1	200601100310	20060110031001	752.262557448617
70	01	01	05	726.49523595	6021	2	48	98	1	05	2	2	98	60	1	0	381500	0	0	0	0	0	1	200601100315	20060110031501	725.975683328596
70	01	03	05	792.49827424	5530	13	48	53	1	14	2	2	53	55	1	6	450000	0	0	0	0	0	1	200601100316	20060110031603	795.884676642036
70	04	01	05	448.19694438	8041	1	48	55	1	02	2	65	55	80	1	0	0	0	0	0	0	0	1	200601100318	20060110031801	449.54760437219
70	02	01	05	606.68729826	2424	26	48	97	1	09	2	34	97	24	1	6	0	0	0	0	0	0	1	200601100319	20060110031901	607.907351002136
70	03	01	05	635.40103039	1551	104	48	45	1	01	2	26	77	15	1	7	0	0	0	0	0	0	1	200601100322	20060110032201	637.128403058969
70	02	01	05	1391.981994	1810	8	48	33	1	01	2	8	70	18	1	8	0	0	0	0	0	0	1	200601100323	20060110032301	1391.28774454326
70	02	01	05	903.94359512	2695	156	48	95	1	10	2	208	95	26	1	8	98	0	0	0	0	0	1	200601100337	20060110033701	905.88589808367
70	03	01	05	956.54935051	2424	52	48	39	1	14	2	4	97	24	1	8	0	0	0	0	0	0	1	200601100339	20060110033901	956.923728798477
70	06	01	05	870.17337131	1810	52	48	45	1	07	2	52	79	18	1	7	0	0	0	98	0	0	1	200601100348	20060110034801	876.114727030829
70	03	02	05	870.17337131	5219	30	48	38	1	01	2	2	33	52	1	8	0	0	0	0	0	0	1	200601100348	20060110034802	876.114727030829
70	01	01	05	814.29994916	1551	17	48	77	1	01	2	17	77	15	1	8	0	0	0	0	0	0	1	200601100351	20060110035101	815.801976269249
70	03	01	05	844.95866554	6719	8	48	98	4	01	2	8	33	67	4	7	0	0	0	0	0	0	1	200601100352	20060110035201	845.395737818504
70	01	01	05	801.36148741	5233	26	48	37	1	01	2	3	58	52	1	8	380000	0	0	0	0	0	1	200601100356	20060110035601	805.128096214405
70	05	01	05	694.81596388	1810	52	48	79	1	09	2	156	79	18	1	8	0	0	0	0	0	0	1	200601100357	20060110035701	695.850574346122
70	03	01	05	625.61812137		104	48	42	1	02	1						0	0	0	0	0	0	1	200601100359	20060110035901	627.003520300076
70	01	01	05	673.65558484	9302	26	48	57	4	01	2	4	57	93	4	7	98	0	0	360000	0	0	1	200601100365	20060110036501	672.705532687518
70	02	01	05	737.82376784	3611	4	48	45	1	01	2	52	81	36	1	8	0	0	0	98	0	0	1	200601100366	20060110036601	736.410105747379
70	01	01	05	678.47291308	4552	2	48	95	4	02	2	2	95	45	4	8	0	0	0	0	0	0	1	200601100367	20060110036701	681.334524005105
70	01	01	05	766.53749997	5269	52	48	79	1	01	2	52	45	52	4	7	0	0	0	0	0	0	1	200601100368	20060110036801	765.631157804212
70	03	01	05	745.89201578	2240	52	48	54	3	10	2	998	97	22	1	7	0	0	0	0	0	0	1	200601100371	20060110037101	747.113469769761
70	03	01	05	844.95866554	5241	8	48	45	1	01	2	4	45	52	1	8	381500	0	0	0	0	0	1	200601100375	20060110037501	845.395737818504
70	03	01	05	852.9299862	6041	52	70	98	1	10	2	8	98	60	1	7	100000	0	0	0	0	0	1	200601100376	20060110037601	854.109496320742
70	06	01	05	623.90221544	7494	8	48	45	1	01	2	2	57	74	1	8	100000	0	0	0	0	0	1	200601100380	20060110038001	630.344847818231
70	02	01	05	907.00823695	7020	4	48	37	1	02	2	4	37	70	1	8	425000	400000	0	0	0	0	1	200601100381	20060110038101	907.380667824918
70	02	01	05	839.13202379	7495	13	48	97	4	01	2	4	97	74	4	7	200000	0	0	0	0	0	1	200601100395	20060110039501	841.482412149574
70	03	01	05	839.13202379	8513	8	48	59	1	01	2	3	59	85	1	8	300000	0	0	0	0	0	1	200601100395	20060110039501	841.482412149574
70	04	01	05	752.25037776		26	48	75	1	02	1						0	0	0	0	0	0	1	200601100408	20060110040801	753.817046262835
70	01	01	05	1007.6254024	8043	4	48	13	1	01	2	8	13	80	1	8	0	0	0	400000	0	98	1	200601100409	20060110040901	1008.18662422212
70	03	01	05	657.73644255	5234	8	48	32	1	01	2	4	45	52	1	8	98	0	0	0	0	0	1	200601100411	20060110041101	660.066742643082
70	03	01	05	844.95866554	7250	26	48	93	1	01	2	26	85	72	1	8	0	0	0	0	0	0	1	200601100412	20060110041201	845.395737818504
70	05	01	05	860.68543456	3611	52	48	89	1	01	2	4	81	36	1	8	300000	0	0	0	0	0	1	200601100413	20060110041301	861.100174173987
70	04	01	05	792.42410726	8041	8	48	53	1	01	2	8	53	80	1	8	0	0	0	0	0	0	1	200601100415	20060110041501	788.981623301904
