Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	02	01	05	767.80351943	02	2	35	2	1	2	2	06		302	3	2	200601100032	20060110003201	768.174549057293
10	03	01	05	767.80351943	03	1	16	5	1	1			2	610	6	10	200601100032	20060110003201	768.174549057293
10	04	01	05	767.80351943	03	2	6	5	2	1			1	300	3	0	200601100032	20060110003201	768.174549057293
10	01	01	05	603.75981876	01	1	59	1	1	2	2	11		301	3	1	200601100033	20060110003301	600.511042093384
10	02	01	05	603.75981876	02	2	60	1	1	2	2	11		301	3	1	200601100033	20060110003301	600.511042093384
10	03	01	05	603.75981876	03	2	28	5	1	2	2	01		303	3	3	200601100033	20060110003301	600.511042093384
10	04	01	05	603.75981876	05	1	11	5	1	2	2	06		304	3	4	200601100033	20060110003301	600.511042093384
10	05	01	05	603.75981876	05	2	8	5	1	1			1	301	3	1	200601100033	20060110003301	600.511042093384
10	06	01	05	603.75981876	05	1	9	5	1	1			1	304	3	4	200601100033	20060110003301	600.511042093384
10	01	01	05	504.91522227	01	2	55	4	1	2	2	06		305	3	5	200601100034	20060110003401	502.722577479303
10	02	01	05	504.91522227	03	2	24	5	1	2	2	06		305	3	5	200601100034	20060110003401	502.722577479303
10	03	01	05	504.91522227	03	2	30	2	1	2	2	02		305	3	5	200601100034	20060110003401	502.722577479303
10	04	01	05	504.91522227	04	1	44	2	1	2	2	01		305	3	5	200601100034	20060110003401	502.722577479303
10	05	01	05	504.91522227	05	2	13	5	1	1			1	407	4	7	200601100034	20060110003401	502.722577479303
10	06	01	05	504.91522227	05	1	10	5	1	1			1	400	4	0	200601100034	20060110003401	502.722577479303
10	07	01	05	504.91522227	05	1	7	5	1	1			1	301	3	1	200601100034	20060110003401	502.722577479303
10	08	01	05	504.91522227	05	1	0	5									200601100034	20060110003401	502.722577479303
10	01	01	05	627.38120837	01	1	52	1	2	2	2	01		100	1	0	200601100035	20060110003501	625.571908910224
10	02	01	05	627.38120837	02	2	22	1	1	2	2	02		305	3	5	200601100035	20060110003501	625.571908910224
10	03	01	05	627.38120837	03	1	5	5	2	1			1	300	3	0	200601100035	20060110003501	625.571908910224
10	04	01	05	627.38120837	03	2	2	5									200601100035	20060110003501	625.571908910224
10	01	01	05	677.06017389	01	2	65	4	1	2	2	11		305	3	5	200601100036	20060110003601	676.547702973692
10	02	01	05	677.06017389	03	2	30	5	1	2	2	02		611	6	11	200601100036	20060110003601	676.547702973692
10	03	01	05	677.06017389	05	2	3	5									200601100036	20060110003601	676.547702973692
10	01	01	05	814.29994916	01	1	40	2	1	2	2	01		408	4	8	200601100037	20060110003701	815.801976269249
10	02	01	05	814.29994916	02	2	36	2	1	2	2	01		305	3	5	200601100037	20060110003701	815.801976269249
10	03	01	05	814.29994916	03	1	16	5	1	1			1	409	4	9	200601100037	20060110003701	815.801976269249
10	01	01	05	666.05974677	01	1	62	2	1	2	2	11		305	3	5	200601100038	20060110003801	666.722164608224
