Reg	Orden	Hogar	Area	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	02	01	05	712.30581991	2	1												200601100039	20060110003901	710.123399311754
50	01	01	05	820.76918004	2	1												200601100040	20060110004001	821.13891629667
50	02	01	05	820.76918004	2	1												200601100040	20060110004001	821.13891629667
50	01	01	05	634.30133081	1	5	1											200601100041	20060110004101	635.585478789789
50	02	01	05	634.30133081	1	5	2	2	2	1							1	200601100041	20060110004101	635.585478789789
50	03	01	05	634.30133081	1	5	2	2	2	2	2							200601100041	20060110004101	635.585478789789
50	01	01	05	667.18635396	2	5	2	1										200601100042	20060110004201	667.368592660096
50	02	01	05	667.18635396	2	4	2	2	2	2	1	08	1	1		01	1	200601100042	20060110004201	667.368592660096
50	01	01	05	729.83955663	1	4	2	2	2	1							1	200601100043	20060110004301	728.932467249523
50	02	01	05	729.83955663	1	6												200601100043	20060110004301	728.932467249523
50	03	01	05	729.83955663	2	1												200601100043	20060110004301	728.932467249523
50	04	01	05	729.83955663	2	4	2	2	2	1							1	200601100043	20060110004301	728.932467249523
50	01	01	05	571.21281395	1	4	2	1										200601100044	20060110004401	570.148828246593
50	02	01	05	571.21281395	1	1												200601100044	20060110004401	570.148828246593
50	03	01	05	571.21281395	1	4	2	2	2	2	1	12						200601100044	20060110004401	570.148828246593
50	06	01	05	571.21281395	1	3	2	2	2	1							1	200601100044	20060110004401	570.148828246593
50	01	01	05	702.7092642	1	4	2	2	2	2	2							200601100045	20060110004501	704.273985289276
50	02	01	05	702.7092642	1	1												200601100045	20060110004501	704.273985289276
50	01	01	05	659.45110363	1	2	2	2	2	1							1	200601100046	20060110004601	659.488261379594
50	02	01	05	659.45110363	1	1												200601100046	20060110004601	659.488261379594
50	01	01	05	699.30467514	1	5	1											200601100047	20060110004701	700.431815003103
50	01	01	05	766.53749997	2	1												200601100048	20060110004801	765.631157804212
50	02	01	05	766.53749997	2	4	2	2	2	1							1	200601100048	20060110004801	765.631157804212
50	01	01	05	747.69214372	2	1												200601100049	20060110004901	746.746375170526
50	02	01	05	747.69214372	2	4	2	2	2	2	2							200601100049	20060110004901	746.746375170526
50	01	01	05	725.39375249	1	5	2	2	2	2	1	11						200601100050	20060110005001	725.834038339213
50	02	01	05	725.39375249	1	4	2	2	2	2	2							200601100050	20060110005001	725.834038339213
50	03	01	05	725.39375249	1	3	2	2	2	2	2							200601100050	20060110005001	725.834038339213
50	01	01	05	725.30371302	2	1												200601100051	20060110005101	722.377899240471
50	02	01	05	725.30371302	2	4	2	2	2	2	1	04	1	2				200601100051	20060110005101	722.377899240471
50	06	01	05	725.30371302	2	5	2	2	2	2	2							200601100051	20060110005101	722.377899240471
50	01	01	05	815.71639678	2	1												200601100052	20060110005201	817.327099442875
50	02	01	05	815.71639678	2	4	2	2	2	2	1	12						200601100052	20060110005201	817.327099442875
50	03	01	05	815.71639678	2	3	2	2	2	2	2							200601100052	20060110005201	817.327099442875
50	05	01	05	815.71639678	2	5	2	2	2	1							1	200601100052	20060110005201	817.327099442875
50	01	01	05	903.20876495	2	6												200601100053	20060110005301	905.833949576742
50	02	01	05	903.20876495	2	1												200601100053	20060110005301	905.833949576742
50	03	01	05	903.20876495	2	1												200601100053	20060110005301	905.833949576742
50	04	01	05	903.20876495	2	3	2	2	2	2	1	14						200601100053	20060110005301	905.833949576742
50	05	01	05	903.20876495	2	3	2	2	2	2	1	14						200601100053	20060110005301	905.833949576742
50	01	01	05	718.46242445	1	4	1											200601100054	20060110005401	720.115880685632
50	02	01	05	718.46242445	1	3	2	2	2	2	1	14						200601100054	20060110005401	720.115880685632
50	03	01	05	718.46242445	1	3	2	2	2	2	2							200601100054	20060110005401	720.115880685632
50	04	01	05	718.46242445	1	1												200601100054	20060110005401	720.115880685632
50	01	01	05	783.83310608	2	2	2	2	2	1							1	200601100055	20060110005501	783.822797761334
