Reg	Orden	Hogar	Area	Fex_c	P24	P26	P27	P27na	P27nba	P27nbb	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Rama4d	Oci	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	05	615.56491943	77	52	1	2			500000	1	100000	2		2		2			0	0	0	0	0	1	2		2		5223	1	200601100061	20060110006101	616.004504529027
60	01	01	05	820.76918004	33	65	1	1	2	12	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	6512	1	200601100062	20060110006201	821.13891629667
60	02	01	05	820.76918004	32	74	1	1	2	12	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7491	1	200601100062	20060110006201	821.13891629667
60	01	01	05	755.31501959	41	52	4													380000	0	0	0	0	0	1	1	5	2		5211	1	200601100063	20060110006301	755.311816004083
60	02	01	05	755.31501959	45	52	6														0	0	0	0	0	1	1	5	2		5211	1	200601100063	20060110006301	755.311816004083
60	01	01	05	713.57183936	95	45	4													800000	0	0	0	0	0	2			2		4552	1	200601100064	20060110006401	712.666790564835
60	02	01	05	713.57183936	45	52	4													400000	0	0	0	0	0	2			2		5269	1	200601100064	20060110006401	712.666790564835
60	01	01	05	657.73644255	97	36	1	2			426000	2		2		2		2			0	0	0	0	0	1	2		2		3699	1	200601100065	20060110006501	660.066742643082
60	01	01	05	565.1922247	53	92	4													200000	0	0	0	0	0	1	1	5	2		9242	1	200601100066	20060110006601	561.690015702602
60	01	01	05	742.48742673	99	50	4													200000	0	0	0	0	0	2			2		5020	1	200601100067	20060110006701	743.271299483587
60	02	01	05	742.48742673	54	95	4													400000	0	0	0	0	0	1	1	4	1	3	9500	1	200601100067	20060110006701	743.271299483587
60	01	01	05	720.15201458	45	52	4													200000	0	0	0	0	0	1	2		2		5269	1	200601100069	20060110006901	720.332959899474
60	02	01	05	824.17376909	57	93	1	1	1		98	2		2		2		2			0	0	0	0	0	1	2		2		9302	1	200601100070	20060110007001	824.981086582844
60	03	01	05	824.17376909	39	64	1	1	2	24	200000	2		2		2		2			0	0	0	0	0	1	1	1	2		6421	1	200601100070	20060110007001	824.981086582844
60	01	01	05	774.2727503	45	52	1	2			425000	2		2		2		2			0	0	0	0	0	1	1	5	2		5249	1	200601100071	20060110007101	773.511489084715
60	02	01	05	774.2727503	42	52	1	1	2	12	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5231	1	200601100071	20060110007101	773.511489084715
60	01	01	05	702.7092642	54	95	3	2			200000	1	100000	1	100000	2		2			0	0	0	0	0	1	2		2		9500	1	200601100072	20060110007201	704.273985289276
60	03	01	05	611.12914391	99	74	1	2			426000	2		2		2		2			0	0	0	0	0	1	1	1	2		7421	1	200601100073	20060110007301	613.805951896779
60	05	01	05	611.12914391	45	51	1	1	2	12	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5139	1	200601100073	20060110007301	613.805951896779
