Reg	Orden	Hogar	Area	Fex_c	P60	P61	P61na	P62	P63	P64	P64na	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Ini	Llave_viv	Llave_hog	Fex_c_2011
80	02	01	05	820.76918004								0	0	0	0	0	0	1	200601100096	20060110009601	821.13891629667
80	02	01	05	695.990997	2				2			0	0	0	0	0	0	1	200601100097	20060110009701	695.643872271632
80	01	01	05	844.95866554	2				2			0	0	381500	0	0	0	1	200601100098	20060110009801	845.395737818504
80	03	01	05	688.25574666	2				2			0	0	0	0	0	0	1	200601100099	20060110009901	687.763540991129
80	04	01	05	638.80561944	1	4	0	2				0	0	0	0	0	0	1	200601100101	20060110010101	640.970573345142
80	03	01	05	796.60816246	2				2			0	0	0	0	0	0	1	200601100102	20060110010201	796.449828668828
80	01	01	05	726.60128746	1	4	3	2				0	0	0	0	0	0	1	200601100104	20060110010401	726.09076394725
80	02	01	05	726.60128746	1	4	4	2				0	0	0	98	0	0	1	200601100104	20060110010401	726.09076394725
80	02	01	05	713.6827837	1	1	2	2				0	0	0	0	0	0	1	200601100105	20060110010501	714.996019872052
80	03	01	05	767.80351943	2				2			0	0	0	0	0	0	1	200601100106	20060110010601	768.174549057293
80	02	01	05	635.40103039	2				2			0	0	0	0	0	0	1	200601100107	20060110010701	637.128403058969
80	03	01	05	635.40103039	2				2			0	0	0	0	0	0	1	200601100107	20060110010701	637.128403058969
80	01	01	05	696.24003332	1	3	4	1		2	08	0	0	0	0	0	0	1	200601100108	20060110010801	698.937045261855
80	01	01	05	740.93691103	1	4	0	2				0	98	0	98	0	0	1	200601100109	20060110010901	740.747611135134
80	01	01	05	763.2992308	1	4	0	2				0	0	0	98	0	0	1	200601100110	20060110011001	762.78945450194
80	02	01	05	807.83071829	1	1	3	2				0	0	0	0	0	0	1	200601100111	20060110011101	810.465036241827
80	04	01	05	807.83071829	2				2			0	0	0	0	0	0	1	200601100111	20060110011101	810.465036241827
80	03	01	05	760.0682691	2				2			0	0	0	0	0	0	1	200601100112	20060110011201	760.29421777679
80	01	01	05	740.93691103	1	4	5	2				0	0	381500	0	0	0	1	200601100114	20060110011401	740.747611135134
80	03	01	05	775.93445038	2				2			0	0	0	0	0	0	1	200601100116	20060110011601	777.895617333482
80	04	01	05	775.93445038	2				2			0	0	0	0	0	0	1	200601100116	20060110011601	777.895617333482
80	05	01	05	775.93445038	2				2			0	0	0	0	0	0	1	200601100116	20060110011601	777.895617333482
80	03	01	05	760.0682691	2				2			0	0	0	0	0	0	1	200601100117	20060110011701	760.29421777679
80	02	01	05	838.48943467	1	4	3	2				0	0	0	0	0	0	1	200601100118	20060110011801	840.058797791082
80	04	01	05	838.48943467	2				2			0	0	0	0	0	0	1	200601100118	20060110011801	840.058797791082
80	01	01	05	806.39107149	1	4	5	2				0	0	98	0	0	0	1	200601100119	20060110011901	806.574711427722
80	02	01	05	627.38120837	1	2	3	2				0	0	0	0	0	0	1	200601100120	20060110012001	625.571908910224
80	02	01	05	734.64123206	1	4	3	2				0	0	0	0	0	0	1	200601100121	20060110012101	733.061738895868
80	03	01	05	734.64123206	1	4	7	2				250000	0	0	0	0	0	1	200601100121	20060110012101	733.061738895868
80	04	01	05	734.64123206	1	4	3	2				0	0	0	0	0	0	1	200601100121	20060110012101	733.061738895868
80	02	01	05	688.25574666	2				2			0	0	0	0	0	0	1	200601100122	20060110012201	687.763540991129
80	03	01	05	688.25574666	1	3	2	2				0	0	0	0	0	0	1	200601100122	20060110012201	687.763540991129
80	02	01	05	635.29008605	1	4	8	2				0	0	0	0	0	0	1	200601100123	20060110012301	634.799173751752
80	03	01	05	635.29008605	2				2			0	0	0	0	0	0	1	200601100123	20060110012301	634.799173751752
80	02	01	05	473.79838229	2				2			0	0	0	0	0	0	1	200601100124	20060110012401	471.80158527365
80	01	01	05	744.34150008	1	4	5	2				0	100000	600000	0	0	0	1	200601100125	20060110012501	744.589781421308
80	02	01	05	744.34150008	2				2			0	0	0	0	0	0	1	200601100125	20060110012501	744.589781421308
80	02	01	05	813.20024959	1	4	3	2				0	0	0	0	0	0	1	200601100127	20060110012701	814.259052000068
80	03	01	05	813.20024959								0	0	0	0	0	0	1	200601100127	20060110012701	814.259052000068
80	03	01	05	700.74432195	1	1	8	2				0	0	0	0	0	0	1	200601100128	20060110012801	704.322139817208
80	04	01	05	700.74432195	2				2			0	0	0	0	0	0	1	200601100128	20060110012801	704.322139817208
80	02	01	05	712.58308412	1	4	8	2				0	0	0	98	0	0	1	200601100129	20060110012901	713.453095602872
80	01	01	05	596.7934449	1	3	4	2				0	0	0	0	0	0	1	200601100130	20060110013001	595.453238936026
80	03	02	05	596.7934449	2				2			0	0	0	0	0	0	1	200601100130	20060110013002	595.453238936026
80	06	02	05	596.7934449	1	4	3	2				0	0	0	0	0	0	1	200601100130	20060110013002	595.453238936026
80	03	01	05	742.37655783	2				2			0	0	0	0	0	0	1	200601100132	20060110013201	744.637935949239
80	04	01	05	742.37655783								0	0	0	0	0	0	1	200601100132	20060110013201	744.637935949239
80	02	01	05	616.33235533	2				2			0	0	0	0	0	0	1	200601100133	20060110013301	616.59950067112
80	01	01	05	712.58308412	1	4	3	2				0	0	0	2400000	0	0	1	200601100134	20060110013401	713.453095602872
80	01	01	05	709.17849507	1	1	0	2				0	0	408000	500000	0	0	1	200601100135	20060110013501	709.610925316698
80	02	01	05	702.7092642	2				2			0	0	0	0	0	0	1	200601100138	20060110013801	704.273985289276
80	02	01	05	720.04107024	2				2			0	0	0	0	0	0	1	200601100140	20060110014001	718.003730592257
80	02	01	05	720.04107024	1	3	0	2				0	0	0	0	0	0	1	200601100142	20060110014201	718.003730592257
80	03	01	05	485.30675465	2				2			0	0	0	0	0	0	1	200601100143	20060110014301	486.730109460224
80	04	01	05	485.30675465	2				2			0	0	0	0	0	0	1	200601100143	20060110014301	486.730109460224
