Reg	Orden	Hogar	Area	Fex_c	Oci	P37	P37na	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	02	01	05	688.25574666	1	2				2					2												200601100099	20060110009901	687.763540991129
62	01	01	05	766.53749997	1	2				2					2												200601100100	20060110010001	765.631157804212
62	02	01	05	766.53749997	1	2				2					1		1								1	1	200601100100	20060110010001	765.631157804212
62	01	01	05	638.80561944	1	2				2					2												200601100101	20060110010101	640.970573345142
62	03	01	05	638.80561944	1	2				2					2												200601100101	20060110010101	640.970573345142
62	01	01	05	796.60816246	1	2				2					1		1								2	1	200601100102	20060110010201	796.449828668828
62	05	01	05	796.60816246	1	2				2					2												200601100102	20060110010201	796.449828668828
62	01	01	05	766.53749997	1	2				2					2												200601100103	20060110010301	765.631157804212
62	02	01	05	766.53749997	1	2				2					2												200601100103	20060110010301	765.631157804212
62	03	01	05	726.60128746	1	2				2					2												200601100104	20060110010401	726.09076394725
62	04	01	05	726.60128746	1	2				2					1		1								2	1	200601100104	20060110010401	726.09076394725
62	01	01	05	713.6827837	1	2				2					1		1					1			1	1	200601100105	20060110010501	714.996019872052
62	01	01	05	767.80351943	1	2				2					1		1		1						1	1	200601100106	20060110010601	768.174549057293
62	01	01	05	635.40103039	1	2				2					1		1		1						1	1	200601100107	20060110010701	637.128403058969
62	02	01	05	696.24003332	1	2				2					2												200601100108	20060110010801	698.937045261855
62	03	01	05	696.24003332	1	2				1	45	2	1	1									1		2	1	200601100108	20060110010801	698.937045261855
62	02	01	05	763.2992308	1	2				2					2												200601100110	20060110011001	762.78945450194
62	01	01	05	807.83071829	1	2				2					2												200601100111	20060110011101	810.465036241827
62	03	01	05	807.83071829	1	2				2					2												200601100111	20060110011101	810.465036241827
62	01	01	05	760.0682691	1	2				2					1				1						1	1	200601100112	20060110011201	760.29421777679
62	02	01	05	760.0682691	1	2				2					2												200601100112	20060110011201	760.29421777679
62	01	01	05	809.79566054	1	2				2					2												200601100113	20060110011301	810.416881713895
62	02	01	05	809.79566054	1	2				2					2												200601100113	20060110011301	810.416881713895
62	01	01	05	766.53749997	1	2				2					2												200601100115	20060110011501	765.631157804212
62	02	01	05	766.53749997	1	2				2					2												200601100115	20060110011501	765.631157804212
62	01	01	05	775.93445038	1	2				2					2												200601100116	20060110011601	777.895617333482
62	02	01	05	775.93445038	1	2				1	20	1	1	1			1		1						1	1	200601100116	20060110011601	777.895617333482
62	07	01	05	775.93445038	1	2				2					2												200601100116	20060110011601	777.895617333482
62	01	01	05	760.0682691	1	2				2					1		1		1						1	1	200601100117	20060110011701	760.29421777679
62	03	01	05	838.48943467	1	2				2					2												200601100118	20060110011801	840.058797791082
62	01	01	05	627.38120837	1	2				2					2												200601100120	20060110012001	625.571908910224
62	01	01	05	734.64123206	1	2				2					2												200601100121	20060110012101	733.061738895868
62	01	01	05	688.25574666	1	2				2					2												200601100122	20060110012201	687.763540991129
62	01	01	05	635.29008605	1	2				2					2												200601100123	20060110012301	634.799173751752
62	01	01	05	473.79838229	1	2				2					2												200601100124	20060110012401	471.80158527365
62	01	01	05	774.2727503	1	2				2					2												200601100126	20060110012601	773.511489084715
62	01	01	05	813.20024959	1	2				2					1		1		1				1		2	9	200601100127	20060110012701	814.259052000068
62	01	01	05	700.74432195	1	2				2					2												200601100128	20060110012801	704.322139817208
62	02	01	05	700.74432195	1	2				2					2												200601100128	20060110012801	704.322139817208
62	02	01	05	596.7934449	1	2				2					2												200601100130	20060110013001	595.453238936026
62	02	02	05	596.7934449	1	2				2					2												200601100130	20060110013002	595.453238936026
62	01	01	05	713.6827837	1	2				2					2												200601100131	20060110013101	714.996019872052
62	01	01	05	742.37655783	1	2				2					2												200601100132	20060110013201	744.637935949239
62	01	01	05	616.33235533	1	2				2					2												200601100133	20060110013301	616.59950067112
62	03	01	05	616.33235533	1	2				2					1	1	1								2	1	200601100133	20060110013301	616.59950067112
62	02	01	05	712.58308412	1	2				2					2												200601100134	20060110013401	713.453095602872
62	01	01	05	673.87763811	1	2				2					2												200601100136	20060110013601	673.19933612218
62	02	01	05	673.87763811	1	2				2					1				1						1	1	200601100136	20060110013601	673.19933612218
62	01	01	05	641.75931693	1	2				2					2												200601100137	20060110013701	640.136113779174
62	02	01	05	641.75931693	1	2				2					2												200601100137	20060110013701	640.136113779174
62	01	01	05	702.7092642	1	2				2					2												200601100138	20060110013801	704.273985289276
62	01	01	05	807.83071829	1	2				2					2												200601100139	20060110013901	810.465036241827
62	02	01	05	807.83071829	1	2				2					2												200601100139	20060110013901	810.465036241827
62	03	01	05	807.83071829	1	2				2					1		1		1						1	1	200601100139	20060110013901	810.465036241827
62	04	01	05	807.83071829	1	2				2					1				1			1			1	1	200601100139	20060110013901	810.465036241827
62	01	01	05	720.04107024	1	2				2					1		1								2	1	200601100140	20060110014001	718.003730592257
62	01	01	05	720.04107024	1	2				2					1		1		1						2	1	200601100141	20060110014101	718.003730592257
62	01	01	05	720.04107024	1	2				2					1		1								1	1	200601100142	20060110014201	718.003730592257
62	01	01	05	485.30675465	1	2				2					2												200601100143	20060110014301	486.730109460224
62	02	01	05	485.30675465	1	2				2					2												200601100143	20060110014301	486.730109460224
62	03	01	05	846.39831235	1	1	4	120000	20	2					2												200601100144	20060110014401	849.28606263261
62	06	01	05	846.39831235	1	2				2					2												200601100144	20060110014401	849.28606263261
62	01	01	05	624.13004864	1	2				2					2												200601100145	20060110014501	623.966325612333
62	01	01	05	766.53749997	1	2				2					2												200601100146	20060110014601	765.631157804212
62	02	01	05	766.53749997	1	2				2					2												200601100146	20060110014601	765.631157804212
62	02	01	05	742.48742673	1	2				2					2												200601100147	20060110014701	743.271299483587
